ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-69306,DNA Replication,20/216,113/5812,0.176991150442478,4.76237299246149,7.93442029639345,3.92409381186657e-09,4.46786109722522e-08,2.53261958128926e-08,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/POLG2/H2BC17/H2AC4/MCM8/H2BC4/H2BC15/H2AC6/CDK2/RFC2/H4C2,20
R-HSA-68867,Assembly of the pre-replicative complex,17/216,81/5812,0.209876543209877,5.64723365340649,8.27437642037739,4.0973674598755e-09,4.59943924721236e-08,2.6072050242732e-08,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/MCM8/H2BC4/H2BC15/H2AC6/H4C2,17
R-HSA-5250913,Positive epigenetic regulation of rRNA expression,16/216,74/5812,0.216216216216216,5.81781781781782,8.19406532158498,7.56812891965148e-09,8.37749826244754e-08,4.74880836265664e-08,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/H2BC15/H2AC6/H4C2,16
R-HSA-5693606,DNA Double Strand Break Response,14/216,56/5812,0.25,6.72685185185185,8.45985714937765,9.1721590992558e-09,1.00139874001464e-07,5.67645681557684e-08,H2BC11/H4C11/H4C1/H4C8/H2BC14/H2BC6/H2AX/H2BC7/KPNA2/H2BC17/H2BC4/H2BC15/TP53/H4C2,14
R-HSA-69481,G2/M Checkpoints,18/216,96/5812,0.1875,5.04513888888889,7.85120657700278,9.46116964003924e-09,1.01899354096098e-07,5.77619343772311e-08,H2BC11/H4C11/H4C1/H4C8/H2BC14/H2BC6/H2AX/H2BC7/WEE1/H2BC17/MCM8/H2BC4/BLM/H2BC15/TP53/CDK2/RFC2/H4C2,18
R-HSA-69278,"Cell Cycle, Mitotic",37/216,363/5812,0.101928374655647,2.74262830323436,6.73617145041056,1.0782888683602e-08,1.14586163744411e-07,6.49534879730581e-08,TUBB6/PPP2R3B/H2AC8/NCAPG2/H2BC11/H4C11/H4C1/H4C8/H3C1/NEK6/CC2D1B/AURKB/LMNA/H2BC14/H2BC6/HAUS8/H2AX/H2BC7/WEE1/ESCO2/BIRC5/H2BC17/H2AC4/MCM8/H2BC4/MYC/H2BC15/TP53/CDK4/CDCA5/CDKN2C/H2AC6/CDK2/RFC2/TK1/E2F5/H4C2,37
R-HSA-5693607,Processing of DNA double-strand break ends,15/216,66/5812,0.227272727272727,6.11531986531987,8.21060979559245,1.09690873945337e-08,1.15031087545308e-07,6.52056942762113e-08,H2BC11/H4C11/H4C1/H4C8/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2BC4/BLM/H2BC15/CDK2/RFC2/H4C2,15
R-HSA-427413,NoRC negatively regulates rRNA expression,16/216,76/5812,0.210526315789474,5.66471734892788,8.04157318421056,1.14058715281467e-08,1.18058176726402e-07,6.69216082599985e-08,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/H2BC15/H2AC6/H4C2,16
R-HSA-9818564,Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,16/216,77/5812,0.207792207792208,5.59114959114959,7.96734375188183,1.39291048293473e-08,1.38768706862372e-07,7.86614302956065e-08,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/H2BC15/H2AC6/H4C2,16
R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,16/216,77/5812,0.207792207792208,5.59114959114959,7.96734375188183,1.39291048293473e-08,1.38768706862372e-07,7.86614302956065e-08,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/H2BC15/H2AC6/H4C2,16
