category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,17/183,70/4182,0.242857142857143,5.54988290398127,8.21131312136276,3.89373682381291e-09,9.30603100891286e-07,9.30603100891286e-07,3012/8970/8363/8359/8365/8350/8342/8344/3014/8343/8348/8335/8347/8341/8334/720/8366,17
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,19/183,112/4182,0.169642857142857,3.87675644028103,6.60092544115008,2.37581962078693e-07,2.83910444684038e-05,2.83910444684038e-05,1535/3012/8970/8363/8359/8365/8350/8342/8344/3014/8343/3690/653361/8348/8335/8347/8341/8334/8366,19
Human Diseases,Substance dependence,hsa05034,Alcoholism,16/183,100/4182,0.16,3.65639344262295,5.75103255313475,4.99065114280334e-06,0.000397588541043333,0.000397588541043333,3012/8970/8363/8359/8365/8350/8342/8344/3014/8343/8348/8335/8347/8341/8334/8366,16
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,17/183,125/4182,0.136,3.10793442622951,5.11799109509433,2.36079067083415e-05,0.0014105724258234,0.0014105724258234,9261/8970/8363/8359/8365/581/8342/8344/8343/8348/8347/8341/7157/3133/1019/1017/8366,17
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,13/183,107/4182,0.121495327102804,2.77646698330014,3.98176063914556,0.000685569168263184,0.0327702062429802,0.0327702062429802,9212/7465/1663/157570/10912/4609/7157/1019/113130/1031/1017/9319/1875,13
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,17/183,169/4182,0.100591715976331,2.2987680667378,3.68663635051501,0.000986063410193412,0.0392781925060376,0.0392781925060376,28227/1978/581/3915/23493/182/8324/3690/3371/3955/7132/7157/3133/1019/1017/7422/10312,17
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,12/183,103/4182,0.116504854368932,2.66242240967691,3.65403809593852,0.00159652087049126,0.049366402135648,0.049366402135648,8350/581/8091/10912/26471/4609/5914/7157/1031/3486/5090/6667,12
Human Diseases,Cancer: specific types,hsa05224,Breast cancer,10/183,77/4182,0.12987012987013,2.96785182031084,3.7279587762783,0.00171675460231323,0.049366402135648,0.049366402135648,581/23493/182/8324/10912/4609/7157/1019/10683/6667,10
Metabolism,Glycan biosynthesis and metabolism,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,4/183,13/4182,0.307692307692308,7.03152585119798,4.65878693331911,0.00185898585448047,0.049366402135648,0.049366402135648,92126/50515/113189/79586,4
