ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
hsa04517,IgSF CAM signaling,181,-0.497808353097451,-1.64673112177533,0.000158532737985774,0.00287548735394568,0.00125093985920939,1275,"tags=28%, list=13%, signal=24%",5594/91768/2037/57180/5747/5604/137970/998/117178/90249/2932/6586/253559/4133/5921/5295/10000/10580/9901/84623/8497/4008/8655/4629/5595/26047/6714/8777/50855/1272/9693/23136/22865/6709/2036/25945/26050/51678/57524/9353/51807/80059/7277/3737/8506/5601/8541/57731/5058/6334,0.518848077743792
hsa04518,Integrin signaling,79,0.486262478590489,1.64220060311933,0.00323389107821939,0.021020292008426,0.00914457894919241,1783,"tags=38%, list=18%, signal=31%",7422/3690/3371/595/341640/894/3915/10979/5154/255743/718/3987/83706/5829/7057/2064/7412/81/71/2335/3910/3696/1299/3675/5880/7423/56034/7040/60/7059,0.431707695803346
hsa04912,GnRH signaling pathway,51,-0.592137557526834,-1.64208740322506,0.00480315453611487,0.0269580211827269,0.0117277035409703,1275,"tags=37%, list=13%, signal=33%",5594/808/108/5604/5608/998/5595/5332/2185/6714/816/801/3708/805/23236/107/5601/5567/6416,0.407017918923954
hsa05219,Bladder cancer,25,0.610839777800056,1.63962692524053,0.0190375071949637,0.0742538788682943,0.0323030934738062,951,"tags=36%, list=10%, signal=33%",7422/4313/7157/1019/4609/595/4893/7057/2064,0.352487857583619
hsa04110,Cell cycle,107,0.45745225399527,1.6368137483679,0.00160781851896564,0.013398487658047,0.00582882141407345,1148,"tags=29%, list=12%, signal=26%",1031/1663/7157/9212/1019/9319/4609/7465/157570/595/1017/113130/1875/894/10912/3065/10926/81620/10403/5347/4171/9700/8243/5518/891/23594/10274/4087/4172/4174/1021,0.45505986738723
hsa03410,Base excision repair,31,0.566685564180078,1.63539135282328,0.0196781708858981,0.0742538788682943,0.0323030934738062,1587,"tags=45%, list=16%, signal=38%",5982/11232/328/10714/2237/5981/54107/3978/57804/54840/5426/5984/4595/5983,0.352487857583619
hsa04260,Cardiac muscle contraction,43,-0.605918217869643,-1.6335676844678,0.00816012757488294,0.0414137238592099,0.0180164513061375,1380,"tags=37%, list=14%, signal=32%",7381/477/59283/55799/4514/781/1346/84679/488/9377/785/7385/1345/782/10479/784,0.380730400722792
hsa04064,NF-kappa B signaling pathway,43,0.538602869110008,1.63035736072263,0.00703414266039291,0.0381016060771283,0.016575561591802,1052,"tags=26%, list=11%, signal=23%",8837/7706/3654/7132/10912/10848/5970/9020/3551/7412/5328,0.407017918923954
hsa05222,Small cell lung cancer,57,0.512893932235378,1.62011606223023,0.00481096993414819,0.0269580211827269,0.0117277035409703,2360,"tags=47%, list=24%, signal=36%",7157/1019/4609/9618/595/1017/581/10912/3915/1643/5970/3551/1021/2335/3910/1030/3675/1163/6502/4149/1164/3911/4792/1647/51426/1870/7709,0.407017918923954
hsa05033,Nicotine addiction,11,-0.782136694282071,-1.60701876899138,0.0133041548957088,0.0578548018787911,0.0251689083652319,1833,"tags=82%, list=19%, signal=66%",773/57030/2905/2892/2556/2560/1141/2562/2891,0.380730400722792
hsa05165,Human papillomavirus infection,169,0.426557554235251,1.6002576465481,0.000180991979199501,0.0030749078607987,0.00133769491324357,1008,"tags=21%, list=10%, signal=19%",1978/7422/3955/182/7157/3690/23493/8324/1019/3133/3371/10312/595/1017/28227/581/894/4893/7132/3915/3065/84441/3106/4854/5315/388585/3105/5829/7855/3107/8772/5970/7057/5518/4242/3551,0.518848077743792
hsa04070,Phosphatidylinositol signaling system,67,-0.544958423095952,-1.59457476055846,0.00458925414025022,0.0269580211827269,0.0117277035409703,1809,"tags=40%, list=19%, signal=33%",5291/160851/8821/23262/1609/3705/79837/8776/5728/808/3706/9162/3631/9677/8396/5295/8395/3632/5332/55529/8867/1607/801/3708/22876/805/23236,0.407017918923954
hsa04930,Type II diabetes mellitus,22,-0.651152986214276,-1.59124555844433,0.0204997553463493,0.0743504768502945,0.0323451170514225,1919,"tags=55%, list=20%, signal=44%",776/773/5291/777/5590/5594/5295/5595/3767/5581/6833/5601,0.352487857583619
hsa05032,Morphine addiction,50,-0.564728870454871,-1.58589883792413,0.0115723736305706,0.0529721328159922,0.0230447726629474,1924,"tags=48%, list=20%, signal=39%",2550/5139/773/9568/2868/408/115/108/3760/10846/5143/2556/3763/5141/5153/2560/2775/2562/10681/27115/5144/5138/107/5567,0.380730400722792
hsa04721,Synaptic vesicle cycle,37,-0.595879459730443,-1.58492366655525,0.0151960008839267,0.062515193509825,0.027196345433521,1660,"tags=54%, list=17%, signal=45%",6538/57030/26052/22999/160/1213/1212/6812/23025/10497/6539/527/6804/6505/5864/6529/535/1759/112755/51382,0.380730400722792
hsa05150,Staphylococcus aureus infection,20,0.607421011335759,1.56492121347922,0.0298094168502822,0.0968806047634173,0.0421465286281203,821,"tags=25%, list=8%, signal=23%",720/5648/714/718/3113,0.352487857583619
hsa05017,Spinocerebellar ataxia,77,-0.527911081578359,-1.56362577245822,0.00772380228179261,0.0398450117711523,0.0173340054327859,1184,"tags=22%, list=12%, signal=20%",9706/2911/2892/25814/7416/55102/5295/10000/488/5332/2259/2891/3708/7419/6310/23236/5601,0.407017918923954
hsa03420,Nucleotide excision repair,46,0.514753226839973,1.56143049109292,0.00907575941928031,0.0433767913421485,0.0188704558829116,1587,"tags=35%, list=16%, signal=29%",5982/10714/57654/5441/8451/1643/5981/54107/3978/5437/57804/5435/5426/5984/5436/5983,0.380730400722792
hsa05416,Viral myocarditis,29,0.563030468120154,1.55377636503755,0.0217985448723167,0.0761777105753004,0.0331400290845306,1962,"tags=41%, list=20%, signal=33%",3133/595/1605/3106/3105/3113/3107/1981/71/5880/60/6641,0.352487857583619
hsa04913,Ovarian steroidogenesis,23,-0.64124547600745,-1.54901577063899,0.0249062088114491,0.08431789441376,0.0366813002401309,1524,"tags=26%, list=16%, signal=22%",115/8681/108/6770/107/5567,0.352487857583619
hsa05146,Amoebiasis,43,-0.573339711704011,-1.54573537754769,0.0201994079095115,0.0743504768502945,0.0323451170514225,780,"tags=16%, list=8%, signal=15%",9630/5295/5332/23236/107/5567/2774,0.352487857583619
hsa05216,Thyroid cancer,21,0.590714659846758,1.54415537804433,0.0327344127090244,0.103288195441096,0.0449340597814771,761,"tags=33%, list=8%, signal=31%",7157/4609/595/581/4893/10912/1643,0.321775918075361
hsa04623,Cytosolic DNA-sensing pathway,37,0.523811047647843,1.53755420679261,0.0276253828276068,0.0925592723605383,0.0402665944527059,2252,"tags=51%, list=23%, signal=40%",5441/8772/5970/1777/5437/3551/9533/834/5435/1687/340061/79792/3428/3665/4793/29800/55718/4792/3569,0.352487857583619
hsa04012,ErbB signaling pathway,50,-0.547006490208631,-1.53612999537297,0.0181686797954247,0.0721143186524384,0.0313723082448188,1275,"tags=30%, list=13%, signal=26%",5594/10718/5747/5604/2932/5295/10000/2066/5595/6714/816/5601/53358/5058/6416,0.352487857583619
hsa04727,GABAergic synapse,47,-0.556686439046075,-1.53097348762746,0.0193300996358969,0.0742538788682943,0.0323030934738062,1988,"tags=49%, list=21%, signal=39%",5334/2550/776/773/9568/6538/81539/115/11345/108/2556/3763/6539/2560/2775/6714/2562/6529/10681/2744/23710/107/5567,0.352487857583619
hsa04927,Cortisol synthesis and secretion,28,-0.617856407992943,-1.53084380665843,0.0163647293153724,0.0664817128437004,0.0289219232317544,573,"tags=25%, list=6%, signal=24%",5332/6770/3708/57552/23236/107/5567,0.352487857583619
hsa05415,Diabetic cardiomyopathy,118,-0.482531674183188,-1.52547703869479,0.00718160159181246,0.0382626314317877,0.0166456133811832,1625,"tags=31%, list=17%, signal=26%",5600/513/4513/6391/509/5164/7381/5590/5728/4514/4715/498/55967/1375/2932/4711/1346/7416/4725/4698/5295/10000/374291/5524/488/4706/5332/9377/7385/816/1345/4714/516/4719/7419/23236/5601,0.407017918923954
hsa05169,Epstein-Barr virus infection,108,0.433500005920156,1.52038622872639,0.00258858738941084,0.0182889326425766,0.00795633992046653,1008,"tags=26%, list=10%, signal=23%",7431/7157/1019/4609/10018/3133/3654/595/1017/581/894/10912/6774/3065/960/3106/811/9612/1643/3105/3113/22938/3107/8772/5970/4940/9020/3551,0.431707695803346
hsa05142,Chagas disease,60,-0.527448355336905,-1.50915770632275,0.0122962317859019,0.0555038240335848,0.0241461489047699,780,"tags=18%, list=8%, signal=17%",9630/5295/10000/5595/5332/2775/23236/107/5601/2774/6416,0.380730400722792
hsa05217,Basal cell carcinoma,29,0.544288513230347,1.5020548185294,0.0349481819386785,0.10921306855837,0.0475115915285691,2275,"tags=48%, list=23%, signal=37%",7157/8324/6608/581/10912/1643/7855/2535/8321/5727/6934/8312/1647/51426,0.321775918075361
hsa04270,Vascular smooth muscle contraction,63,-0.5193543059765,-1.48956665541524,0.0205893628200815,0.0743504768502945,0.0323451170514225,1591,"tags=33%, list=16%, signal=28%",9826/115/148/8681/5594/808/108/5604/4659/2977/4629/5595/5332/2983/801/3708/805/5581/23236/107/5567,0.352487857583619
hsa04976,Bile secretion,28,-0.598403472975252,-1.48264586825734,0.0246113801708568,0.0841968269002995,0.0366286315410196,73,"tags=11%, list=1%, signal=11%",57552/107/5567,0.352487857583619
