ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0048646,anatomical structure formation involved in morphogenesis,481,0.406668170049854,1.69606921346311,1.41510119218648e-09,3.51278060648644e-07,1.88824090445971e-07,2015,"tags=37%, list=21%, signal=31%",4323/7422/10630/133/3955/9037/2201/6667/4313/51330/6909/8038/182/1846/3690/6159/9289/2771/23493/8324/7837/8837/4327/57674/23554/84957/6132/8828/55558/301/6170/6157/4814/6156/22846/5376/6662/54209/8877/8091/6608/4192/25873/4017/6774/3065/5154/10938/9555/302/284361/5898/1605/2896/655/9444/4854/358/221496/91010/84172/84465/928/22905/5315/2969/718/388585/6161/8862/2047/27161/2895/7453/6091/3592/6093/6147/6134/25902/7855/1009/5970/2050/7057/8019/2064/9948/56999/3339/2034/682/2246/3162/83700/10451/4087/975/57556/8642/8751/5469/4804/23513/4522/6142/144455/10516/1289/7494/6678/56975/6491/4691/1847/71/2335/85377/8829/3315/10267/11082/3696/3576/6137/3675/10253/7045/285/4627/23019/7423/1942/7052/5591/6591/51421/6130/2297/4059/290/1500/5990/6299/7040/286204/4089/6303/441478/11252/694/5371/672/30846/7171/54623/80155/2302/2247/5727/57216/4211/23654/2314/6173/79971/25865/89857/51129/2494/6464/6664/10395/5777/1295/26011/7311/6657/11214,0.788186810800237
GO:0042551,neuron maturation,20,-0.727418386200332,-1.695980575809,0.0038845839224847,0.0326552672368236,0.0175533340251238,1621,"tags=55%, list=17%, signal=46%",163175/9463/577/6376/30819/26047/9331/53335/27289/65009/57731,0.431707695803346
GO:0034368,protein-lipid complex remodeling,15,0.710365245782553,1.69555233875933,0.0141591919483723,0.0785174638924193,0.0422058487690176,1242,"tags=47%, list=13%, signal=41%",5125/9388/3931/348/5360/341/949,0.380730400722792
GO:0034369,plasma lipoprotein particle remodeling,15,0.710365245782553,1.69555233875933,0.0141591919483723,0.0785174638924193,0.0422058487690176,1242,"tags=47%, list=13%, signal=41%",5125/9388/3931/348/5360/341/949,0.380730400722792
GO:0072538,T-helper 17 type immune response,31,0.600789301793289,1.69478055233272,0.00386681650305719,0.0326050872551547,0.0175263605518026,1269,"tags=26%, list=13%, signal=23%",3956/84818/6774/10758/64332/84695/6046/9021,0.431707695803346
GO:0006337,nucleosome disassembly,10,0.776661762721754,1.69381449938422,0.0110398386570302,0.0676629938845898,0.0363711962355891,2074,"tags=90%, list=21%, signal=71%",6599/6605/6418/6603/6602/29028/83743/54454/6604,0.380730400722792
GO:0072078,nephron tubule morphogenesis,19,0.670844894022746,1.69291543802945,0.00664529356994835,0.0483502394227276,0.0259899236661216,1853,"tags=63%, list=19%, signal=51%",7422/9955/4609/6662/6608/255743/388585/2246/2297/6299/7040/2247,0.407017918923954
GO:0032607,interferon-alpha production,16,0.684813140366562,1.69290206149044,0.0101846024585342,0.0637670955118908,0.0342770162992263,519,"tags=19%, list=5%, signal=18%",4828/56829/1660,0.380730400722792
GO:0032647,regulation of interferon-alpha production,16,0.684813140366562,1.69290206149044,0.0101846024585342,0.0637670955118908,0.0342770162992263,519,"tags=19%, list=5%, signal=18%",4828/56829/1660,0.380730400722792
GO:1902107,positive regulation of leukocyte differentiation,85,0.492554646298671,1.69224273770661,0.00057542123846141,0.00882350707060787,0.00474293980692859,1755,"tags=33%, list=18%, signal=27%",4323/86/677/301/5914/54209/4192/865/11221/64332/10221/8772/6599/6605/6598/29117/6046/7494/6688/6603/6602/864/1435/22985/5591/3965/7040/60,0.477270815362862
GO:1903708,positive regulation of hemopoiesis,85,0.492554646298671,1.69224273770661,0.00057542123846141,0.00882350707060787,0.00474293980692859,1755,"tags=33%, list=18%, signal=27%",4323/86/677/301/5914/54209/4192/865/11221/64332/10221/8772/6599/6605/6598/29117/6046/7494/6688/6603/6602/864/1435/22985/5591/3965/7040/60,0.477270815362862
GO:0048048,embryonic eye morphogenesis,13,0.726461107635116,1.69080915362114,0.0148645724269161,0.0806278864287739,0.0433402737745189,837,"tags=31%, list=9%, signal=28%",2201/6909/2202/7855,0.380730400722792
GO:0001916,positive regulation of T cell mediated cytotoxicity,13,0.726328889498353,1.69050142119945,0.0148645724269161,0.0806278864287739,0.0433402737745189,860,"tags=46%, list=9%, signal=42%",3133/3106/3592/3105/3107/8772,0.380730400722792
GO:1903530,regulation of secretion by cell,251,-0.495522245384718,-1.69009037121642,3.01073004696e-05,0.00111449831562905,0.000599081338480497,1323,"tags=27%, list=14%, signal=24%",376267/57102/808/23086/222183/9066/10307/6812/9545/4760/84062/2781/79751/2029/9024/2917/781/10497/1408/226/9783/65985/25924/55691/11069/10059/26297/9498/22930/8564/10079/8655/22895/5532/6804/7260/286097/1141/785/8448/9572/2775/5864/50855/80223/1946/84961/93664/6447/200933/322/192683/79772/3767/2044/9256/112755/9699/6833/23400/3737/5530/6861/133308/326624/5567/9899/4345/5413,0.575610261071129
GO:0006360,transcription by RNA polymerase I,54,0.53620922619753,1.68861930747365,0.00267627660733409,0.0250418786761638,0.0134608747137629,1327,"tags=28%, list=14%, signal=24%",1663/284119/9555/23133/84172/5441/30834/2064/6598/5437/9533/9031/5435/4691/64425,0.431707695803346
GO:0019226,transmission of nerve impulse,32,-0.652279737434315,-1.68668468134241,0.00408920222662512,0.0338361439144275,0.0181880960258183,1364,"tags=34%, list=14%, signal=30%",6326/59283/57578/6330/26047/728215/6324/3737/8506/2257/57731,0.407017918923954
GO:0097396,response to interleukin-17,10,0.773311398286327,1.68650772038295,0.0126029633809012,0.0733579385757285,0.0394324257056525,1269,"tags=60%, list=13%, signal=52%",84818/54756/6774/10758/64332/9021,0.380730400722792
GO:0097398,cellular response to interleukin-17,10,0.773311398286327,1.68650772038295,0.0126029633809012,0.0733579385757285,0.0394324257056525,1269,"tags=60%, list=13%, signal=52%",84818/54756/6774/10758/64332/9021,0.380730400722792
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,122,0.470835270215105,1.68610475145873,0.000133181025449009,0.00317439258948399,0.00170634565768478,1100,"tags=21%, list=11%, signal=19%",182/196/11118/720/3133/3956/301/84818/54209/6774/10758/3106/714/718/64332/5130/84695/3592/3105/7855/3107/8772/26022/121260/975/6046,0.518848077743792
GO:0060055,angiogenesis involved in wound healing,12,0.739541918449464,1.68460913654607,0.0118650372185187,0.0703584039060467,0.0378200722193062,530,"tags=25%, list=5%, signal=24%",7422/3690/1605,0.380730400722792
GO:0045580,regulation of T cell differentiation,80,0.499311798837703,1.68431978507084,0.00092814123487263,0.0121638385439829,0.00653848334609362,1311,"tags=24%, list=14%, signal=21%",86/3956/301/5914/4192/865/11221/64332/84695/6599/6605/2175/6598/29117/6046/7494/6603/6602/864,0.477270815362862
GO:0044703,multi-organism reproductive process,64,0.520834976648107,1.68396602256798,0.00134619281101673,0.0157165467652601,0.00844818672256943,1697,"tags=41%, list=18%, signal=34%",7422/2201/4313/5125/3690/6159/8614/3488/5914/811/780/27161/6781/790/682/4087/10959/2353/3485/1307/113/285/3965/51673/25879/7040,0.45505986738723
GO:0051650,establishment of vesicle localization,129,-0.530751826481633,-1.68366697919769,0.000339060656930301,0.00599232001840879,0.00322107897956363,2232,"tags=39%, list=23%, signal=30%",6386/55770/1020/27095/8938/585/5048/26258/59349/23122/80006/118426/8499/547/5071/10987/3800/26052/1780/80128/55327/3798/10947/55614/23233/6812/5604/149371/84062/122553/23025/10497/4133/10079/90990/5864/8867/1176/8766/65018/93664/55088/5871/1759/54536/11127/23400/22920/284697/5413,0.49849310876659
GO:0043270,positive regulation of monoatomic ion transport,73,-0.576069144047609,-1.68320735057108,0.00108330748745021,0.0136872981947302,0.00735739552737904,1051,"tags=27%, list=11%, signal=25%",65268/54997/6376/6330/6327/844/9465/2273/30819/5532/57463/11261/7220/6324/6833/5530/490/784/5534/9495,0.45505986738723
GO:0019646,aerobic electron transport chain,56,-0.588413385639933,-1.6827324383999,0.0030928284890109,0.027828861884064,0.0149589744480538,2573,"tags=54%, list=27%, signal=40%",1350/4702/4707/4519/4694/4705/4729/4722/4723/9167/54205/7388/4513/6391/23479/7381/4514/4715/4711/1346/4725/4698/374291/4706/9377/7385/65018/1345/4714/4719,0.431707695803346
