Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,145.84645363542,0.581901208105909,0.336527313172948,1.72913515583461,0.0837849084550812,0.274896091172616
ENSG00000000419,196.800957196882,-0.165209075154521,0.330256317428211,-0.500245011029752,0.616902568244079,0.825342626200839
ENSG00000000457,200.668430199814,-0.0609573296225155,0.254382880957928,-0.239628269767875,0.810618447081706,0.927873840657605
ENSG00000000460,55.8156717464195,0.282894694080338,0.72758023445951,0.388815804335984,0.697412408800975,0.869163623469223
ENSG00000000971,408.909360770188,0.377195652543371,0.629331420298864,0.599359320664847,0.548933297782743,0.783462321715745
ENSG00000001036,36.379234701745,0.562663847392685,0.786166617981189,0.715705595383278,0.474173155080613,0.731513250278365
ENSG00000001084,461.443455063483,0.39553334011383,0.486102241419177,0.813683432026705,0.415826327914503,0.686877907890004
ENSG00000001167,231.110851905206,0.0467738471656564,0.319824578892109,0.146248444468164,0.88372526349743,0.958365797902814
ENSG00000001460,125.540344495881,-0.735689829315993,0.231469029159857,-3.17835103895438,0.00148115304500445,0.0166437277632825
ENSG00000001461,1405.62014922767,0.198179332070977,0.308721245005435,0.641936164994046,0.520914631382443,0.764033951889723
ENSG00000001497,95.7527739757287,-0.100046950508301,0.953046301302997,-0.104975960109721,0.916394884357281,0.969303609537354
ENSG00000001561,903.477883257285,-0.400372526175299,0.8842729342899,-0.452770305015399,0.650714148410134,0.84334798003115
ENSG00000001617,37.0440079840847,1.55589511975655,1.55345945471879,1.00156789739852,0.316552332160865,0.595970116505328
ENSG00000001626,10.0242875430477,0.554963866931668,0.916111765961234,0.605781835308457,0.544659633384877,
ENSG00000001629,367.730300136897,-0.725841094563813,0.282521953213119,-2.56914935745287,0.0101948506974534,0.0672666387534996
ENSG00000001630,1765.33570347044,0.266795576244082,0.273900814984189,0.974059081421436,0.330027204897242,0.60955742828857
ENSG00000001631,444.127275812307,-0.315988348123804,0.400366911562226,-0.78924691076698,0.429967708946693,0.698946186486709
ENSG00000002016,147.033315022408,0.12763774295659,0.572957063312289,0.222770170977056,0.823714384755411,0.933939656963513
ENSG00000002330,198.420925953994,-0.48905907107747,0.315763304146194,-1.54881540906046,0.121426100272275,0.346154424880083
ENSG00000002549,751.896301121117,0.769503032951706,0.380308290984524,2.02336644031518,0.0430353815208185,0.17841638575719
ENSG00000002586,1159.73914818334,2.50523172545142,0.624640320564992,4.01067885464938,6.05444161031385e-05,0.00145454448259506
ENSG00000002587,70.575708588196,-0.630730619520171,0.838236259685498,-0.75244969688715,0.451780669885018,0.716403424215627
ENSG00000002745,14.1512034887085,0.996947958867356,1.32903592773679,0.750128674523536,0.453177211062106,0.717585289301304
ENSG00000002746,819.448088559239,-1.0156934362329,0.309027271869337,-3.28674369122462,0.00101353037275869,0.0124405637020587
ENSG00000002822,142.691762860417,0.209172635017516,0.47237638772477,0.442809252225769,0.657903710517965,0.847291098844841
ENSG00000002834,1119.10050902079,-0.36307466495471,0.201564157798749,-1.80128584823707,0.0716578372227503,0.249105937313575
ENSG00000002919,112.790102211206,0.230984339537045,0.305252135357908,0.756700159578625,0.449229519196888,0.714554569096036
ENSG00000002933,62.5667253414795,0.676233439850543,0.659987866044042,1.02461495830806,0.305544903675926,0.586809348269721
ENSG00000003056,776.961276638045,-0.00222889962208761,0.293081456997571,-0.00760505166352467,0.993932105184903,0.997728920501144
ENSG00000003096,104.709716127191,1.51158431026487,0.676008825576042,2.23604227204699,0.0253490022878555,0.125539131390849
ENSG00000003137,177.724139291808,-0.740296163871685,0.499962585777514,-1.48070312645579,0.138685700497176,0.373498472896582
ENSG00000003147,339.268330658717,-1.69006204814871,0.333048427651983,-5.07452342610886,3.88468374089643e-07,2.59101821308062e-05
ENSG00000003249,357.471130254464,-1.43029946565263,0.611652337288187,-2.33841903064409,0.0193655214669721,0.104136649462734
ENSG00000003393,133.05474639796,-0.554260497323615,0.455134063578326,-1.21779612135805,0.223301458625296,0.493957260202165
ENSG00000003400,63.5071177048883,0.985188797051689,0.717329435488314,1.37341191970051,0.169624326280345,0.419603752060859
ENSG00000003402,2176.44083875923,0.892883838224486,0.306658253622447,2.91165761128931,0.00359516478346485,0.031835491574912
ENSG00000003436,1245.09449185954,0.355533232290258,0.473792210299312,0.750399066429678,0.45301439304475,0.717483830410112
ENSG00000003509,269.10878142401,-0.909806083749848,0.289649841629975,-3.14105500154948,0.00168340414820425,0.0184016935588205
ENSG00000003756,1549.82597636206,-0.078949084256404,0.212940336042644,-0.370756831343563,0.710818656910742,0.875771314550767
ENSG00000003987,500.147364140916,-0.232981099049001,0.529733524380682,-0.439808107899876,0.660076094834014,0.848691545101995
ENSG00000003989,48.3849898272871,-6.72108200470192,4.12803753143204,-1.6281542872432,0.103492174910175,0.314756893079755
ENSG00000004059,576.423563158947,-0.560276954980901,0.350346406774177,-1.59920850948541,0.109774280184206,0.326025469721425
ENSG00000004139,457.556587925809,0.268874992987988,0.255060617777847,1.05416114541906,0.291809145602586,0.572495982086277
ENSG00000004142,237.725402129975,-1.09501269253212,0.270602599210078,-4.04657122928087,5.19733147122026e-05,0.0012895673900092
ENSG00000004399,1085.58042933585,0.0279095336730246,0.421980411817296,0.066139405743574,0.947266838271252,0.980650134129164
ENSG00000004455,229.125288341213,0.667686170946318,0.46871166756393,1.42451365551989,0.154297834971539,0.397741936447006
ENSG00000004468,142.363750118626,1.20520665379394,0.70663294395036,1.70556250470909,0.0880895654729326,0.28358152654539
ENSG00000004478,79.6300934378008,-1.09834823498697,0.507265683637676,-2.16523267868339,0.0303698709501421,0.141400279416705
ENSG00000004487,162.192958008093,1.17502234756618,0.744159939146454,1.57899167336785,0.114337966956271,0.3337359201649
ENSG00000004534,1075.6819025077,0.130563125824894,0.141944477406501,0.919818285363704,0.357667726256574,0.63544773625929
ENSG00000004660,1099.53586427518,-1.2498424885188,0.278934818259803,-4.48076900659522,7.43745726438421e-06,0.00028415419249325
ENSG00000004700,188.412734572924,1.43531049231768,0.375255445450358,3.82488917807738,0.000130830924490497,0.00262944767137386
ENSG00000004766,332.319965161088,0.15494450451721,0.436903448153278,0.354642439129598,0.7228574782215,0.883772518818705
ENSG00000004776,34.0336863268238,0.0782853013973454,0.441952202056407,0.177135221938217,0.859402176250982,0.948869172287509
ENSG00000004777,309.195391267473,-0.340322051193185,0.58129602978888,-0.585453940424788,0.558242528359678,0.789703069092316
ENSG00000004779,406.12636867525,-0.565054427229081,0.241093725688679,-2.34371270183418,0.0190928721394587,0.102895467602298
ENSG00000004799,765.355047914104,0.362335453938838,0.700460159592664,0.517282030928847,0.604959295840239,0.817438489536601
ENSG00000004838,13.9816187218502,3.22702482907604,1.4158674528565,2.27918568405931,0.0226560297363569,0.116028121054804
ENSG00000004846,19.3206194078689,0.665737846493959,0.820500652849228,0.811380032644888,0.417147462217552,0.687855405830888
ENSG00000004848,77.4566136694899,-2.0301421338202,1.36989914103271,-1.48196467390275,0.13834969482424,0.3728998075838
ENSG00000004864,117.623904043193,1.98268717084011,0.650972466769485,3.04573122835655,0.00232115223336196,0.023089479951279
ENSG00000004866,305.659880748979,-0.0597895503042531,0.31924734525563,-0.187282842575803,0.851438874620446,0.945663822241407
ENSG00000004897,1341.98523422934,-0.204867887464539,0.324499454832554,-0.631335074415623,0.527821457997897,0.769119085208222
ENSG00000004939,26.5229142645367,-0.669743194160393,0.55015533900007,-1.21737107082825,0.223463064710246,0.494140173211823
ENSG00000004961,168.146615762052,-0.637282955657097,1.21061044084143,-0.526414554308778,0.59860020550477,0.813789145368604
ENSG00000004975,204.664997144528,-0.00729594694440416,0.299574496510726,-0.0243543660404448,0.980569948141611,0.992678241388884
ENSG00000005007,545.965903902706,-0.545166343037967,0.211038610047446,-2.58325404491341,0.00978732245619895,0.0651913868138695
ENSG00000005020,476.13546496744,-0.306613936626644,0.530067515739085,-0.578443174732422,0.562964952018291,0.793440445881953
ENSG00000005022,674.21244967687,-0.228608057307576,0.406918225217298,-0.561803436514788,0.574249950456935,0.799415736889107
ENSG00000005059,157.650497769576,3.26388438716416,0.668889809589108,4.87955465963688,1.06325653668001e-06,5.82747510187071e-05
ENSG00000005075,62.2650991077156,1.23061815823299,0.301860073473774,4.07678347146468,4.5662978293652e-05,0.0011575772957221
ENSG00000005100,447.938412760035,-0.023051468977648,0.245466566268446,-0.0939087930713894,0.925181608847872,0.973051771744426
ENSG00000005108,909.445134568844,0.359526348506217,0.439131698092031,0.818721012553433,0.412945605292336,0.683990043752168
ENSG00000005156,569.347108890883,-0.359154482113381,0.337360747896063,-1.06460068147594,0.287056671314249,0.566739621189962
ENSG00000005175,437.46274587441,-0.0323433017880903,0.220940774846814,-0.146389012216125,0.883614300851018,0.958365797902814
ENSG00000005189,38.0722887652806,1.58349762616413,0.488175704717895,3.24370428692102,0.00117986168991908,0.0139512972420961
ENSG00000005194,170.883576251111,-0.553399455080587,0.517533704810073,-1.06930128402686,0.284933932225399,0.564633648998322
ENSG00000005206,258.14224431011,-0.0912730587278516,0.428065324739006,-0.213222266446135,0.831153601472329,0.936746723684155
ENSG00000005238,152.497053379656,0.501463669672085,0.649622183757627,0.771931258214514,0.440155142655241,0.70697898668445
ENSG00000005243,44.1438995379875,0.943802841129063,0.693675845014337,1.36058196045381,0.17364583562238,0.425539352560212
ENSG00000005249,145.493480132359,-2.37237084766466,1.03521589429311,-2.29166771949981,0.0219248244989717,0.11361412874421
ENSG00000005302,219.076635110886,-0.958281969828743,0.60237080893069,-1.59085061165207,0.111643199639077,0.329092373947336
ENSG00000005339,1798.07689733917,0.467157345134996,0.491419741889806,0.950627956741204,0.341793271598526,0.620398930993783
ENSG00000005379,1247.92012971851,-1.14998369663596,0.297432451187733,-3.8663692950912,0.000110467624078336,0.00231722918056006
ENSG00000005436,215.517596064831,0.29296911886908,0.347395939674333,0.843329139493469,0.399044390187987,0.672350168566386
ENSG00000005448,123.000517979974,0.155403051794968,0.393657291905129,0.394767364889611,0.693014581876039,0.86587216871939
ENSG00000005469,302.269094274501,0.682111882598615,0.373388446985148,1.82681571458944,0.0677274822999342,0.239187948984468
ENSG00000005483,2095.2870516671,0.212738172815526,0.303858594869447,0.700122281901979,0.483850941704861,0.738748438657939
ENSG00000005486,878.561009500529,-0.669784857556391,0.472808225685167,-1.41660999358837,0.156596985078719,0.400937186520349
ENSG00000005513,519.160345529684,2.33238076617103,0.983937501909896,2.37045621459056,0.0177661481152238,0.0976170707386607
ENSG00000005700,642.6272203902,-0.202650173264201,0.229011114318605,-0.88489230693961,0.37621471760973,0.653287510695353
ENSG00000005801,161.247005182081,0.19249687820813,0.383589851873211,0.501829955271488,0.615787139876617,0.824492665302984
ENSG00000005810,2080.86733052454,-1.51260923282032,0.216434123134095,-6.98877427882831,2.77298134137962e-12,1.2400268380224e-09
ENSG00000005812,576.639667739121,-0.446321481975303,0.360458784047461,-1.23820392712787,0.215640455773142,0.483710272211172
ENSG00000005844,29.932752026733,0.28928965288913,0.526297374154601,0.549669572936443,0.582546030029595,0.804532581375891
ENSG00000005882,162.078786840508,-0.491316913005622,0.333608054882743,-1.47273696127724,0.140821976110677,0.377493581544924
ENSG00000005884,773.997663671357,0.226884364070408,0.551587059100876,0.41133010705553,0.680830496080641,0.859049688398274
ENSG00000005889,318.742143848543,-0.851890963071671,0.60469078320974,-1.40880427935378,0.158893049435878,0.403820671751529
ENSG00000005893,2803.17107392319,0.46026652718952,0.313281599857605,1.46917829645509,0.14178443542265,0.378606967565353
ENSG00000005961,39.0190231216702,0.189547922510052,0.700922509638339,0.270426359410051,0.786832263402172,0.916978670889593
ENSG00000005981,19.635051662556,-0.730095078209728,1.64149674751028,-0.444774002334815,0.656483083863492,0.846625231572267
ENSG00000006007,798.719966642044,-0.736177473102551,0.280090321602319,-2.62835741303407,0.00857983161880232,0.0590474875591307
ENSG00000006015,290.327904915094,-0.472988225000762,0.337460147402686,-1.40161209743191,0.161031112509625,0.407098569926684
ENSG00000006016,66.5140450535254,-1.05738571331336,0.950446074185195,-1.11251520947135,0.265916694384215,0.543602792592605
