signcon,ntimes,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,Gene_ID,Gene_Symbol,Gene_Description,FDR,neg_log10_FDR,Significance
-2,2,-1.59388739735076,-2.18507084615164,-1.00270394854988,1.26219905741453e-07,0.463852372119655,0.495829044025791,27.9233115576265,1.26219905741453e-07,FALSE,ENSG00000003147,ICA1,islet cell autoantigen 1,1.43635416331398e-05,4.84273846245535,DOWN
-2,2,-1.29883516842933,-1.82779389278429,-0.769876444074379,1.48974498073246e-06,0.483108347304966,0.48701772634297,23.1611805398111,1.48974498073245e-06,FALSE,ENSG00000004660,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,0.0001066161975338,3.97217681064557,DOWN
-2,2,-1.18136105493401,-1.73828543065975,-0.624436679208268,3.21718868077212e-05,0.127453911384013,0.721086656225893,17.2849858359921,3.21718868077213e-05,FALSE,ENSG00000005379,TSPOAP1,TSPO associated protein 1,0.00119792966760515,2.92156867933205,DOWN
-2,2,-1.49970076682487,-1.90854387906659,-1.09085765458316,6.5050066856111e-13,0.05002485990254,0.823020021334113,51.6882749100333,6.50500668561114e-13,FALSE,ENSG00000005810,MYCBP2,MYC binding protein 2,7.32030085687436e-10,9.13547106951602,DOWN
-2,2,-1.80239234027316,-2.580781090363,-1.02400359018332,5.66879921284808e-06,0.0585413480494236,0.808816431575991,20.5968946256075,5.66879921284806e-06,FALSE,ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8,0.000310343775285002,3.50815696104542,DOWN
2,2,3.2887215687056,1.85386652040568,4.72357661700552,7.04634970249676e-06,0.479909953306004,0.488463106902973,20.1806121180809,7.04634970249674e-06,FALSE,ENSG00000006327,TNFRSF12A,TNF receptor superfamily member 12A,0.000367863040138594,3.43431384432488,UP
2,2,1.23913970957524,0.461772710591773,2.01650670855871,0.00178274241034512,0.14141457561305,0.706878762942974,9.76078016411313,0.00178274241034512,FALSE,ENSG00000006534,ALDH3B1,aldehyde dehydrogenase 3 family member B1,0.0226829335828836,1.64430077885897,UP
-2,2,-1.23919216718688,-2.02821887604093,-0.45016545833282,0.00208263951909924,0.1213749574404,0.727547995496854,9.47523723376823,0.00208263951909924,FALSE,ENSG00000008300,CELSR3,cadherin EGF LAG seven-pass G-type receptor 3,0.0252571621423748,1.59761544772936,DOWN
2,2,1.49537950007215,0.481871408238151,2.50888759190614,0.00383008906484218,0.900273823153556,0.342708299714571,8.36266281972168,0.00383008906484217,FALSE,ENSG00000008517,IL32,interleukin 32,0.0387137146194826,1.41213515569357,UP
2,2,3.24690660757765,2.16563140528518,4.32818180987012,3.96908297071515e-09,0.368414509280523,0.543869767284447,34.6388360149518,3.96908297071516e-09,FALSE,ENSG00000011028,MRC2,mannose receptor C type 2,9.57116007795311e-07,6.01903542012078,UP
