Gene_ID,log2FC,P.Value,FDR,Gene_Symbol,Gene_Description,Significance
ENSG00000171467,-1.03859367544791,0.398519371531523,0.689831515103617,ZNF318,zinc finger protein 318,NS
ENSG00000171469,0.776216112127445,0.00284051494554321,0.0313550226783192,ZNF561,zinc finger protein 561,NS
ENSG00000171475,-0.549099865613243,1.40872908088218e-05,0.000634115916941099,WIPF2,WAS/WASL interacting protein family member 2,NS
ENSG00000171476,-0.364063654339074,0.56391296019316,0.804238124520835,HOPX,HOP homeobox,NS
ENSG00000171492,1.07259582743632,0.477613547001796,0.754879838332427,LRRC8D,leucine rich repeat containing 8 VRAC subunit D,NS
ENSG00000171497,-0.710454287239601,0.225365956918124,0.531447542003164,PPID,peptidylprolyl isomerase D,NS
ENSG00000171503,-0.16131272157115,0.439745248522364,0.725108123256118,ETFDH,electron transfer flavoprotein dehydrogenase,NS
ENSG00000171530,-0.323950637525443,0.226433682841994,0.532710880330712,TBCA,tubulin folding cofactor A,NS
ENSG00000171533,-0.691439350446283,0.0304961315619475,0.168715707244376,MAP6,microtubule associated protein 6,NS
ENSG00000171566,-0.193854254520044,0.524116626475699,0.780881550740452,PLRG1,pleiotropic regulator 1,NS
ENSG00000171574,0.114931887997952,0.737823728737297,0.89169809517871,ZNF584,zinc finger protein 584,NS
ENSG00000171587,-1.01940454561836,0.521250212340285,0.780881550740452,DSCAM,DS cell adhesion molecule,NS
ENSG00000171612,-0.282026967493026,0.629171704445689,0.840001453022138,SLC25A33,solute carrier family 25 member 33,NS
ENSG00000171634,0.302298646398477,0.102808886994679,0.345470606331158,BPTF,bromodomain PHD finger transcription factor,NS
ENSG00000171649,0.530737069355706,0.0604285081767127,0.250008141672282,ZIK1,zinc finger protein interacting with K protein 1,NS
ENSG00000171657,-0.272350166573414,0.83917103044876,0.937701156774404,GPR82,G protein-coupled receptor 82,NS
ENSG00000171681,-0.122391278430779,0.832682019676745,0.934967128080496,ATF7IP,activating transcription factor 7 interacting protein,NS
ENSG00000171703,-0.41225784310734,0.197485691566541,0.498786804036391,TCEA2,transcription elongation factor A2,NS
ENSG00000171720,0.0709674498635715,0.715892216204967,0.87991183739568,HDAC3,histone deacetylase 3,NS
ENSG00000171723,-0.366766544559036,0.249028007038874,0.560105630754989,GPHN,gephyrin,NS
ENSG00000171724,-1.00077069349558,0.311658924702827,0.618190675556254,VAT1L,vesicle amine transport 1 like,NS
ENSG00000171729,1.40766386941412,0.00709264451879056,0.0603142768147026,TMEM51,transmembrane protein 51,NS
ENSG00000171757,-0.528714294385513,0.154796787634403,0.438172684505655,LRRC34,leucine rich repeat containing 34,NS
ENSG00000171763,0.144152109200885,0.722835903566518,0.882778491658229,AFG2B,AFG2 AAA ATPase homolog B,NS
ENSG00000171766,0.18588062855871,0.619582046411493,0.834236501735655,GATM,glycine amidinotransferase,NS
ENSG00000171777,0.0904522896578265,0.858456083142497,0.946972049002225,RASGRP4,RAS guanyl releasing protein 4,NS
ENSG00000171791,0.163471666521353,0.546415807591082,0.793820297011331,BCL2,BCL2 apoptosis regulator,NS
ENSG00000171793,0.114088651613547,0.781751717642238,0.912160560027215,CTPS1,CTP synthase 1,NS
ENSG00000171806,-0.22605248218663,0.616609630130364,0.83189321086457,METTL18,"methyltransferase 18, RPL3 N3(tau)-histidine",NS
ENSG00000171823,-0.475254728950112,0.336003868119083,0.640995889303084,FBXL14,F-box and leucine rich repeat protein 14,NS
ENSG00000171827,-0.19815838128809,0.445610439641535,0.729102186218008,ZNF570,zinc finger protein 570,NS
ENSG00000171840,0.178684516496467,0.891816929428664,0.961384513666114,NINJ2,ninjurin 2,NS
ENSG00000171843,-0.460418986281266,0.18484343388421,0.481094416407597,MLLT3,MLLT3 super elongation complex subunit,NS
ENSG00000171848,4.07714253893688,0.259750743773646,0.571218141436057,RRM2,ribonucleotide reductase regulatory subunit M2,NS
ENSG00000171853,-0.148110054223372,0.396533867478101,0.687914869751713,TRAPPC12,trafficking protein particle complex subunit 12,NS
ENSG00000171858,0.389502441831259,0.100119429590126,0.340157525289767,RPS21,ribosomal protein S21,NS
ENSG00000171860,0.299663952969187,0.898440667806302,0.963442336908515,C3AR1,complement C3a receptor 1,NS
ENSG00000171861,0.00626774010903206,0.982705554984708,0.993971317304269,MRM3,mitochondrial rRNA methyltransferase 3,NS
ENSG00000171862,-0.525449910276387,0.0514618461770766,0.226808345553278,PTEN,phosphatase and tensin homolog,NS
ENSG00000171867,-0.129923302545245,0.886723398816718,0.958487790597422,PRNP,prion protein (Kanno blood group),NS
ENSG00000171877,0.0753527737519139,0.863586684161152,0.948057115645786,FRMD5,FERM domain containing 5,NS
ENSG00000171885,-0.00568716991891498,0.988981909137011,0.995791918340668,AQP4,aquaporin 4,NS
ENSG00000171928,-0.392134077045542,0.552203249394168,0.797949689551509,TVP23B,trans-golgi network vesicle protein 23 homolog B,NS
ENSG00000171940,1.46795667933853,0.122183680104951,0.382394862096937,ZNF217,zinc finger protein 217,NS
ENSG00000171953,0.198014897554238,0.524476993565845,0.780881550740452,ATPAF2,ATP synthase mitochondrial F1 complex assembly factor 2,NS
ENSG00000171962,0.344838555035184,0.481564598250057,0.75687247844143,DRC3,dynein regulatory complex subunit 3,NS
ENSG00000171970,-0.0127907245470284,0.979565904810644,0.992998046634191,ZNF57,zinc finger protein 57,NS
ENSG00000171984,-0.067503646948491,0.936273273557378,0.976126171110695,SHLD1,shieldin complex subunit 1,NS
ENSG00000171988,-0.612831590993792,0.0729495873183189,0.279816761616145,JMJD1C,jumonji domain containing 1C,NS
ENSG00000171992,-1.02980556286086,0.349118514661942,0.651533502210457,SYNPO,synaptopodin,NS
ENSG00000172000,-0.467270751455668,0.547042744474634,0.794006072945883,ZNF556,zinc finger protein 556,NS
ENSG00000172006,-1.10554060344196,0.14023044010354,0.414707270478505,ZNF554,zinc finger protein 554,NS
ENSG00000172009,-0.508446390299891,0.0652301143553308,0.261023547289921,THOP1,thimet oligopeptidase 1,NS
