Gene_ID,log2FC,P.Value,FDR,Gene_Symbol,Gene_Description,Significance
ENSG00000067182,1.17046785067176,0.00449804364352862,0.0437619462263764,TNFRSF1A,TNF receptor superfamily member 1A,Up
ENSG00000067191,-1.08748677822099,0.00029261579572936,0.00611054181267414,CACNB1,calcium voltage-gated channel auxiliary subunit beta 1,Down
ENSG00000067840,-1.29558578859135,0.00400844372826228,0.04023539948448,PDZD4,PDZ domain containing 4,Down
ENSG00000068383,-1.02630081705642,0.00444000800765455,0.0434057925690399,INPP5A,inositol polyphosphate-5-phosphatase A,Down
ENSG00000068400,-1.62256635427296,0.000115597595691992,0.00304888658637629,GRIPAP1,GRIP1 associated protein 1,Down
ENSG00000068831,-1.43133800045581,0.00147580701770829,0.0196568942208389,RASGRP2,RAS guanyl releasing protein 2,Down
ENSG00000069424,-1.73601918818388,0.0002366721750996,0.00526816657012912,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,Down
ENSG00000069966,-1.34158977456989,0.00038794765936852,0.00755602671939302,GNB5,G protein subunit beta 5,Down
ENSG00000070182,-1.84835814855665,0.00171302069050879,0.022017098418113,SPTB,"spectrin beta, erythrocytic",Down
ENSG00000070961,-2.14258296515698,2.83662415715944e-08,4.78822157728514e-06,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,Down
ENSG00000071246,1.00549946092156,0.00255882191362858,0.0292173036541491,VASH1,vasohibin 1,Up
ENSG00000071539,1.72452623497612,0.000234420742629326,0.00522954467257668,TRIP13,thyroid hormone receptor interactor 13,Up
ENSG00000071575,1.86834421133298,0.00221201054534567,0.0264813744719397,TRIB2,tribbles pseudokinase 2,Up
ENSG00000074527,-1.92506157842095,0.000451287954233299,0.00835583985461582,NTN4,netrin 4,Down
ENSG00000074590,-1.65137168541283,0.000288347148205153,0.00604941382540797,NUAK1,NUAK family kinase 1,Down
ENSG00000074706,-3.03505477671975,0.00117211269119255,0.0168246618824723,IPCEF1,interaction protein for cytohesin exchange factors 1,Down
ENSG00000075420,1.13893286122982,0.00299607876779619,0.0324885286512204,FNDC3B,fibronectin type III domain containing 3B,Up
ENSG00000075461,2.24102943357914,0.00134612284589298,0.0185238209010925,CACNG4,calcium voltage-gated channel auxiliary subunit gamma 4,Up
ENSG00000075618,1.33463437156524,0.00105399479819981,0.015698322523776,FSCN1,fascin actin-bundling protein 1,Up
ENSG00000075945,-1.04337152574217,4.10012594566827e-07,3.6109630937155e-05,KIFAP3,kinesin associated protein 3,Down
ENSG00000076604,1.60189840936492,0.000419975733286892,0.00793097324064719,TRAF4,TNF receptor associated factor 4,Up
ENSG00000078725,-2.6112840213928,0.00528347905231776,0.0494100423286004,BRINP1,BMP/retinoic acid inducible neural specific 1,Down
ENSG00000079308,1.49354235692764,2.37283463859465e-14,4.80641384393732e-11,TNS1,tensin 1,Up
ENSG00000080224,-2.56368193969604,8.50143225791341e-09,1.87179360669885e-06,EPHA6,EPH receptor A6,Down
ENSG00000081803,-1.86102746167735,0.000514257037599438,0.00923114513072092,CADPS2,calcium dependent secretion activator 2,Down
ENSG00000082397,-1.46849743011561,0.000951474557098,0.0145215943851815,EPB41L3,erythrocyte membrane protein band 4.1 like 3,Down
ENSG00000084444,-1.52684198175583,1.12150505463561e-08,2.22717709673519e-06,FAM234B,family with sequence similarity 234 member B,Down
ENSG00000084731,-1.21553786703724,3.24051924080521e-06,0.000198908962853789,KIF3C,kinesin family member 3C,Down
ENSG00000085117,1.34143659017177,0.000832087168113474,0.0131883862889722,CD82,CD82 molecule,Up
ENSG00000086015,1.17713617940066,1.95988519564426e-05,0.00081351300251988,MAST2,microtubule associated serine/threonine kinase 2,Up
ENSG00000086300,-1.53949352414277,0.00206780217571138,0.025179295318779,SNX10,sorting nexin 10,Down
ENSG00000087088,1.06601358327761,0.00382442152353248,0.0386950461441928,BAX,"BCL2 associated X, apoptosis regulator",Up
ENSG00000087095,-1.89855567688259,2.13263427403098e-07,2.15993199273858e-05,NLK,nemo like kinase,Down
ENSG00000087245,3.24482493595966,6.83713044951943e-06,0.000358789933641103,MMP2,matrix metallopeptidase 2,Up
ENSG00000087258,-1.19992932667834,0.0014662622742179,0.019589419617235,GNAO1,G protein subunit alpha o1,Down
ENSG00000088367,-1.42948502827955,0.000243524629377914,0.00539697471846721,EPB41L1,erythrocyte membrane protein band 4.1 like 1,Down
ENSG00000089169,-1.98885570881687,0.00368608197786268,0.0378334329532786,RPH3A,rabphilin 3A,Down
ENSG00000089558,-3.41420240556628,3.75689911691413e-07,3.39731020143806e-05,KCNH4,potassium voltage-gated channel subfamily H member 4,Down
