Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,tetraspanin 6,protein_coding,145.84645363542,0.581901208105909,0.336527313172948,1.72913515583461,0.0837849084550812,0.274896091172616
ENSG00000000419,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",protein_coding,196.800957196882,-0.165209075154521,0.330256317428211,-0.500245011029752,0.616902568244079,0.825342626200839
ENSG00000000457,SCYL3,SCY1 like pseudokinase 3,protein_coding,200.668430199814,-0.0609573296225155,0.254382880957928,-0.239628269767875,0.810618447081706,0.927873840657605
ENSG00000000460,FIRRM,FIGNL1 interacting regulator of recombination and mitosis,protein_coding,55.8156717464195,0.282894694080338,0.72758023445951,0.388815804335984,0.697412408800975,0.869163623469223
ENSG00000000971,CFH,complement factor H,protein_coding,408.909360770188,0.377195652543371,0.629331420298864,0.599359320664847,0.548933297782743,0.783462321715745
ENSG00000001036,FUCA2,alpha-L-fucosidase 2,protein_coding,36.379234701745,0.562663847392685,0.786166617981189,0.715705595383278,0.474173155080613,0.731513250278365
ENSG00000001084,GCLC,glutamate-cysteine ligase catalytic subunit,protein_coding,461.443455063483,0.39553334011383,0.486102241419177,0.813683432026705,0.415826327914503,0.686877907890004
ENSG00000001167,NFYA,nuclear transcription factor Y subunit alpha,protein_coding,231.110851905206,0.0467738471656564,0.319824578892109,0.146248444468164,0.88372526349743,0.958365797902814
ENSG00000001460,STPG1,sperm tail PG-rich repeat containing 1,protein_coding,125.540344495881,-0.735689829315993,0.231469029159857,-3.17835103895438,0.00148115304500445,0.0166437277632825
ENSG00000001461,NIPAL3,NIPA like domain containing 3,protein_coding,1405.62014922767,0.198179332070977,0.308721245005435,0.641936164994046,0.520914631382443,0.764033951889723
ENSG00000001497,LAS1L,LAS1 like ribosome biogenesis factor,protein_coding,95.7527739757287,-0.100046950508301,0.953046301302997,-0.104975960109721,0.916394884357281,0.969303609537354
ENSG00000001561,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4,protein_coding,903.477883257285,-0.400372526175299,0.8842729342899,-0.452770305015399,0.650714148410134,0.84334798003115
ENSG00000001617,SEMA3F,semaphorin 3F,protein_coding,37.0440079840847,1.55589511975655,1.55345945471879,1.00156789739852,0.316552332160865,0.595970116505328
ENSG00000001626,CFTR,CF transmembrane conductance regulator,protein_coding,10.0242875430477,0.554963866931668,0.916111765961234,0.605781835308457,0.544659633384877,
ENSG00000001629,ANKIB1,ankyrin repeat and IBR domain containing 1,protein_coding,367.730300136897,-0.725841094563813,0.282521953213119,-2.56914935745287,0.0101948506974534,0.0672666387534996
ENSG00000001630,CYP51A1,cytochrome P450 family 51 subfamily A member 1,protein_coding,1765.33570347044,0.266795576244082,0.273900814984189,0.974059081421436,0.330027204897242,0.60955742828857
ENSG00000001631,KRIT1,KRIT1 ankyrin repeat containing,protein_coding,444.127275812307,-0.315988348123804,0.400366911562226,-0.78924691076698,0.429967708946693,0.698946186486709
ENSG00000002016,RAD52,"RAD52 homolog, DNA repair protein",protein_coding,147.033315022408,0.12763774295659,0.572957063312289,0.222770170977056,0.823714384755411,0.933939656963513
ENSG00000002330,BAD,BCL2 associated agonist of cell death,protein_coding,198.420925953994,-0.48905907107747,0.315763304146194,-1.54881540906046,0.121426100272275,0.346154424880083
ENSG00000002549,LAP3,leucine aminopeptidase 3,protein_coding,751.896301121117,0.769503032951706,0.380308290984524,2.02336644031518,0.0430353815208185,0.17841638575719
ENSG00000002586,CD99,CD99 molecule (Xg blood group),protein_coding,1159.73914818334,2.50523172545142,0.624640320564992,4.01067885464938,6.05444161031385e-05,0.00145454448259506
ENSG00000002587,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1,protein_coding,70.575708588196,-0.630730619520171,0.838236259685498,-0.75244969688715,0.451780669885018,0.716403424215627
ENSG00000002745,WNT16,Wnt family member 16,protein_coding,14.1512034887085,0.996947958867356,1.32903592773679,0.750128674523536,0.453177211062106,0.717585289301304
