Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
TP53,40,0.247817653665334,0.317477876106195,0.75939677216468,1.79657269344743
MYC,23,0.192217221645306,0.317477876106195,0.30564268045808,2.3321940013985
SRC,21,0.126107464949647,0.295876288659794,0.114720532997211,-1.1492041324562
PRKACB,19,0.205438835896622,0.28989898989899,0.0111652781521705,-1.35990657419623
H4C11,18,0.0032007947339161,0.248269896193772,1,1.90306299804496
H4C2,18,0.0032007947339161,0.248269896193772,1,1.25639765572141
H4C8,18,0.0032007947339161,0.248269896193772,1,1.25567938820148
H4C1,17,0.00218030751835615,0.248055315471046,0.967777322892223,2.08402418543912
H3C1,17,0.0098891565057446,0.252418645558487,0.83568469031449,1.31389080252909
H2AC8,16,0.00299500073245451,0.246351931330472,0.90934992703817,1.36176736647016
H2AC6,16,0.000241353943466175,0.215627347858753,0.906089987214208,1.3720801593999
H2AX,16,0.00748835544632467,0.262820512820513,0.707563027458199,1.76789789739345
H2BC4,15,0.000277843668459059,0.216277317256971,0.862761286947561,1.50217159679261
H2BC7,15,0.000213792202437386,0.215465465465465,0.863731867420847,2.20032526794694
ACTL6A,15,0.0192520918574867,0.263302752293578,0.708473547589574,1.72332921392191
H2BC17,15,0.000102471091256122,0.213224368499257,0.865665376420134,6.33016621254433
BIRC5,14,0.0356513581113465,0.26797385620915,0.126917111238402,1.83705095689305
AURKB,14,0.039499540122442,0.268978444236176,0.157715082114587,2.45839171160792
PLCB1,14,0.0407643097212455,0.218916857360793,0.00073485332695361,-1.80862575975813
H2BC14,14,0.00577087933766012,0.24762726488352,0.797519329859758,3.03449704085221
H2BC6,14,0.000192738439263278,0.215303825956489,0.817465394740811,2.17341968533108
H2AC4,12,0.00100251696254729,0.245508982035928,0.722724377077619,2.84706116241989
H2BC15,12,1.92788104806846e-05,0.211495946941783,0.731686603191657,1.38097190308923
H2BC11,11,0.000580092886314778,0.245299145299145,0.661672350808935,4.01966600556747
CALM1,11,0.110356720234764,0.283877349159248,0.0222402414375324,-1.16282632105645
CDK4,9,0.00348295428162274,0.263544536271809,0.157872658907227,1.80556435190259
PLCB4,9,0.0149226735449808,0.216277317256971,0.000526667487670859,-1.86163476692281
CAMK2B,9,0.0288776849643914,0.245089666951324,0.00208932982654511,-1.98653680040988
APOE,8,0.036938190749079,0.208272859216255,0.00435580699726753,1.14653239119949
CDK2,8,0.00313007466099132,0.263061411549038,0.150171347445459,1.85051506791822
CDCA5,8,0.00628775969346961,0.215789473684211,0.0345215557696364,1.29150103150638
H1-2,8,0,0.2,0.503347519088921,1.36571354807783
PPP3CA,8,0.0117656315130278,0.235245901639344,0.00200997099466458,-1.5244485585582
CDCA3,8,0.00498887807271906,0.216277317256971,0.032318233929931,1.85880411503598
GABARAPL1,8,0.0564066395945446,0.232200647249191,0.000792054555321545,-1.41528750994857
CALM2,8,0.00772056601242029,0.23582580115037,0.00218554430450273,-1.14701705156597
TNFRSF1A,7,0.0299165515250656,0.253086419753086,0.0613327232900319,1.17046785067176
SYP,7,0.0608368773717343,0.213066072754269,0.000708036245651479,-1.94267940639163
ADCY1,7,0.0237481150144462,0.248915871639202,0.00257072065605509,-1.71064334573072
ITPR1,7,0.0773875728332727,0.26043557168784,0.00241137858966833,-1.08365544673572
MAPK9,7,0.0278018829308228,0.270499528746466,0.0669536015683715,-1.1787338726871
TRIP13,6,0.000170555328148451,0.215303825956489,0.0274823296134468,1.72452623497612
MMP2,6,0.00598853868194842,0.234668847097302,0.0149798622970022,3.24482493595966
RAB3A,6,0.0186164551780598,0.177051202961135,5.30667361963298e-05,-2.39497381035417
BYSL,6,0.0107859579335104,0.209183673469388,0.00218983865543177,1.53592933208808
GNB5,6,0.0204714259096846,0.23257698541329,0.000845266410658594,-1.34158977456989
NCF1,6,0.0116086778550962,0.23257698541329,0.0097321659664662,1.56609194510357
ANXA5,6,0.00867963009598618,0.269483568075117,0.0916946337760494,1.70934226388522
SP1,6,0.107591676177599,0.304994686503719,0.0864415615446032,1.19359638028886
HOMER1,6,0.0446554334016609,0.216603773584906,0.000235288096888508,-2.16212388377184
ERBB4,6,0.0710413179591271,0.259025270758123,0.061511344118312,-1.35498314064148
PRC1,6,0.000222366222221752,0.214820359281437,0.0266403584886028,1.76541466105429
PPP3CB,6,0.00794304780519297,0.234668847097302,0.00183634398447227,-2.0529645955995
SYNJ1,6,0.0115991464328927,0.183269476372925,6.48737820039069e-05,-1.57255632494444
TK1,6,0.0186389684813754,0.21498127340824,0.023704309294597,2.37276145568867
RACK1,6,0.0248610923372547,0.250655021834061,0.00825696167107609,1.02254523435206
STX1A,5,0.0139991813344249,0.176942046855734,5.2796723440375e-05,-1.44238429093824
PPP3R1,5,0.000698595666451003,0.207369942196532,0.00039749534936572,-1.66892130146113
PXDN,5,0.0347236090779852,0.267723880597015,0.0801211815549234,1.98665158412826
GFAP,5,0.0449823860223596,0.225098039215686,0.00923054443222512,1.63415529731754
CACNG4,5,0.00135154465443647,0.20767004341534,0.000277808781630801,2.24102943357914
TRIM25,5,0.0232173557101924,0.243220338983051,0.0529677516003984,1.03143133020448
SCN8A,5,0.043276416283948,0.198341395991707,8.54573683325532e-05,-1.49470199406934
BLM,5,0.005611710861341,0.259259259259259,0.132772122108113,1.48606620165775
PINK1,5,0.01400511501241,0.197658402203857,8.17396388286284e-05,-1.13602490395234
BCL2L11,5,0.00522064050471746,0.26797385620915,0.0703194087640587,1.07997211904208
ITGB3,5,0.017367366430813,0.233333333333333,0.0085520585064823,2.11229314534382
NRXN1,5,0.0139991813344249,0.17948717948718,2.28576613673301e-05,-1.060036212248
SMO,4,0.0277855096193205,0.227056962025316,0.000774575368997861,1.74203947444835
TROAP,4,0.00561297343735763,0.216277317256971,0.0218276618532314,2.52248460167388
CYBA,4,0.00109393649057996,0.232200647249191,0.00986959526405005,1.40386359461172
CNTNAP1,4,0.00469641151589576,0.166473317865429,6.74804335273705e-06,-1.37221958609099
PIP5K1B,4,3.24737344794651e-05,0.180958385876419,9.7379298224736e-05,-3.92238656737795
GRIA2,4,0.00979210897246644,0.236019736842105,0.00093199663863044,-1.232775177166
DLGAP1,4,0.00545499097661159,0.199167244968772,9.42216357450901e-05,-1.98016387278128
EFNA5,4,0.0139991813344249,0.206772334293948,0.00426696189781889,-1.69178010807344
RTN4,4,9.8239869013508e-05,0.833333333333333,7.29666834943449e-18,-1.10260188486314
RPS2,4,8.95303359486741e-05,0.204270462633452,0.000816630057415755,1.17161887231574
PTBP1,4,0.0139828080229226,0.245719178082192,0.0700172883330982,1.38384900162766
INPP5A,4,0.00934916086778551,0.180276381909548,8.70968276423003e-05,-1.02630081705642
PLXNA3,4,9.8239869013508e-05,1,0,1.12213078401417
KCNAB2,4,0.00934916086778551,0.143285072391413,4.74692937946888e-07,-1.73601918818388
RPS9,4,8.95303359486741e-05,0.204270462633452,0.000816630057415754,2.09950448960627
AKAP5,4,0.00301587489211192,0.231638418079096,0.00117620162936426,-1.7417704257273
PTK2B,4,0.0116086778550962,0.230893000804505,0.00856058950997973,-1.17738334494168
WEE1,4,0.00152479778681893,0.246563573883162,0.0752074585142888,3.99595886475846
HMGA2,4,0.0156825640676519,0.25972850678733,0.0735332000331668,2.066961939831
UHRF1,4,0.000521839366616309,0.217424242424242,0.116592363747635,2.98822603655034
KCNA2,4,0.0184499931777869,0.166569936157864,6.37322778041974e-06,-1.90778460617388
INPP5F,4,3.24737344794651e-05,0.180958385876419,9.73792982247145e-05,-1.23543848619268
RFC2,3,0.00335530418475431,0.207971014492754,0.010774026575066,1.12584641024681
LFNG,3,0.0185837085550553,0.113663366336634,3.40835541802997e-08,2.74396013526964
LOX,3,0.0459541151183057,0.24762726488352,0.0220325978378458,3.15940710979236
RARA,3,0.00778180872204614,0.235053235053235,0.00597537268851181,1.06565278198191
JAG1,3,0.00934916086778551,0.102244389027431,2.35316721134637e-09,1.54200622686075
DGKG,3,0.00468276708964388,0.180050188205772,8.66874822367794e-05,1.14902313647218
RTN1,3,0,0.625,2.76518636596138e-18,-1.71802236924046
BAX,3,0.0368347960583048,0.283877349159248,0.0575122543484234,1.06601358327761
NDUFB8,3,0.00501598186648111,0.198341395991707,0.000353326968880553,-1.03295110061824
CACNB3,3,0.000118102255228739,0.188443860801051,8.43932517385581e-05,-1.61741966524817
SLC25A23,3,0.000794573416759254,0.175535168195719,1.43548598201899e-05,-1.20055049319393
SHCBP1,3,0.00468276708964388,0.211964549483013,0.0105519546526407,1.38323616043495
ESCO2,3,0.00486626912906078,0.178482587064677,0.0031125606049381,1.83957903650733
MMP14,3,7.91376722608814e-05,0.231265108783239,0.00945175020678818,2.45084929181175
GABRB3,3,0.0139500613999181,0.189438943894389,5.84257941076825e-05,-2.37967514422179
HSPA6,3,0.00933278755628326,0.213700670141474,0.00462575988640255,3.03647314735343
FKBP10,3,0.0366598444535407,0.169121979964643,0.000104535692367279,1.8064585430572
HASPIN,3,0.000262189146107467,0.221450617283951,0.0139584988347913,2.93917048308321
TNFRSF12A,3,0.00161686451084732,0.208272859216255,0.00481753534327036,3.2887215687056
GNAL,3,0.00484175123552938,0.202826855123675,0.000234735182118154,-2.16127180093796
PDE4D,3,0.0120312715664742,0.24036850921273,0.00150421289862066,-1.06715737979179
KCNJ11,3,0.00377287889410494,0.236213991769547,0.0118493086632756,-1.37658078080162
ATL1,3,0,0.625,1.18454631423744e-17,-1.44131637001045
FGF17,3,0.0124148919620417,0.213859910581222,0.0045582999272223,-1.71271662727727
CNTNAP2,3,5.73065902578797e-05,0.143213572854291,5.02281213547942e-07,-2.07733825446098
S100A10,3,0.00468822486014463,0.213066072754269,0.0104583551538383,2.37591967700078
TREM2,3,0.00468276708964388,0.172787477423239,0.000321298332822178,1.62973427674253
TNFRSF25,3,0.00933278755628326,0.20456165359943,0.0045457244727463,-1.47661248082501
FKBP1B,3,0.00298067999739041,0.231265108783239,0.000940318926032855,-1.22064745192653
PPP2R3B,3,0,0.190951430472389,0.000290256250014232,1.6241606166452
CACNB1,3,0.000577931675338432,0.197522367515485,0.000167673008303442,-1.08748677822099
TGFB1I1,3,0.000147359803520262,0.190444591904446,0.00130275694380573,1.75064305373754
SEC61G,3,0,0.200839748075577,0.000676443682722112,3.17252768860932
E2F5,3,0,0.242194092827004,0.0419732227901412,1.14133380429049
KPNA2,3,0.00337817569797227,0.246351931330472,0.031206273777204,1.20422191878805
SPTBN4,3,0.00468276708964388,0.165991902834008,6.33604685307451e-06,-1.56853036186838
MARCKS,3,0.00933278755628326,0.222653219550039,0.00167849520633212,1.1916270644523
VIM,3,0.0246681475346701,0.252863436123348,0.0528186597552755,2.33650198632431
IGFBP3,3,0.00521814366104174,0.245508982035928,0.0532125669003986,1.94521253107888
KIF3A,3,0.00933278755628326,0.185640362225097,5.35146666792282e-05,-1.38029505505766
