Symbol,Module,Degree,Log2FC
PPP3CB,13,6,-2.0529645955995
SYNJ1,13,6,-1.57255632494444
PPP3R1,13,5,-1.66892130146113
CACNG4,13,5,2.24102943357914
NRXN1,13,5,-1.060036212248
PIP5K1B,13,4,-3.92238656737795
GRIA2,13,4,-1.232775177166
DLGAP1,13,4,-1.98016387278128
INPP5A,13,4,-1.02630081705642
AKAP5,13,4,-1.7417704257273
INPP5F,13,4,-1.23543848619268
DGKG,13,3,1.14902313647218
CACNB3,13,3,-1.61741966524817
GNAL,13,3,-2.16127180093796
PDE4D,13,3,-1.06715737979179
FKBP1B,13,3,-1.22064745192653
PPP2R3B,13,3,1.6241606166452
CACNB1,13,3,-1.08748677822099
MARCKS,13,3,1.1916270644523
CACNB4,13,3,-1.76671121389923
HOMER3,13,3,1.02254427489761
BCL11A,13,3,-1.75694741224285
SOX9,13,2,1.49963342091524
GNAO1,13,2,-1.19992932667834
BASP1,13,2,-1.34843383526708
PDE2A,13,2,-1.75254107060298
EPB41L1,13,2,-1.42948502827955
CAMKK1,13,2,-1.29883516842933
SOX6,13,2,1.24120213178756
DPF3,13,2,1.36853785001415
ATP2B1,13,2,-2.14258296515698
DGKB,13,2,-2.52010208802123
ABCC8,13,2,-1.80239234027316
LIPG,13,1,1.38025285416255
CLSTN3,13,1,-1.53265751840026
STAR,13,1,-1.70545899920717
NPTN,13,1,-1.40529740554992
PAXBP1,13,1,1.22760032748644
INPP5J,13,1,-1.07836709219714
CASKIN1,13,1,-2.0734322157384
ATP2B2,13,1,-2.49696235714935
LRRTM3,13,1,-1.29580499336666
NCALD,13,1,-1.97944275738034
FGF12,13,1,-1.57361601327824
PREX1,13,1,1.23321878501652
RGS7BP,13,1,-2.63819044026277
PDE7B,13,1,-1.86166702412319
CDH18,13,1,-1.75085312564078
ADRB1,13,1,-1.59040880271502
GUCY1B1,13,1,-1.83789995042594
EPB41L3,13,1,-1.46849743011561
FHL1,13,1,-1.22846737340863
GSKIP,13,1,-1.39731008355391
NECAP1,13,1,-1.18986466752753
MAPK9,14,7,-1.1787338726871
SP1,14,6,1.19359638028886
RARA,14,3,1.06565278198191
HSPA6,14,3,3.03647314735343
HSPA4L,14,2,-1.06187461181859
CALD1,14,2,1.4691184134328
MYH11,14,2,-2.17575628399849
DNAJA4,14,2,-1.2276767646471
DUSP4,14,1,2.71549035125725
DUSP19,14,1,-1.18615743387092
TGIF1,14,1,2.24330355003588
MAP2K4,14,1,-1.31544821869705
KALRN,15,1,-1.36897985259767
ARHGAP31,15,1,1.13957822693899
TRIM25,16,5,1.03143133020448
ZC3HAV1,16,2,1.35674573126
UBE2L6,16,2,1.03733804381156
KHNYN,16,2,1.11972186730098
NLRC5,16,1,2.07163063818352
RNF213,16,1,1.23538119476551
CHPF,17,1,1.20718979894522
CHSY3,17,1,-1.07313253885739
NR1D1,18,1,-1.25334342252278
TEF,18,1,-1.3100386216692
TUBB6,19,2,2.80529107604788
TUBA4A,19,1,-2.02712178480072
TUBA8,19,1,-2.5390216890816
YWHAH,20,1,-1.45694156287123
WWTR1,20,1,2.36615512945861
SMO,21,4,1.74203947444835
KIF3A,21,3,-1.38029505505766
KIF3C,21,2,-1.21553786703724
EVC2,21,2,2.67708137213061
KIFAP3,21,2,-1.04337152574217
BOC,21,1,1.95556725645018
NSG1,21,1,-1.38504647133575
DMTN,22,2,-1.70833002310636
TMOD2,22,1,-1.27332190005207
FSCN1,22,1,1.33463437156524
TEP1,23,2,1.11713520173329
LSM11,23,1,-1.15965599385406
MVP,23,1,1.61317082434761
GABARAPL1,24,8,-1.41528750994857
PINK1,24,5,-1.13602490395234
NDUFB8,24,3,-1.03295110061824
SLC25A23,24,3,-1.20055049319393
GABRB3,24,3,-2.37967514422179
NDUFS1,24,3,-1.00229311956942
MICU1,24,3,-1.04026891529828
GLRB,24,2,-1.39470542396264
GABRB1,24,2,-1.41949050711906
MICU3,24,2,-1.5881213071588
ATP13A2,24,2,-1.09322283823377
UBQLN1,24,2,-1.00812342223734
ARHGEF9,24,2,-1.16953671746124
MAP1A,24,1,-1.14740044316034
CTSF,24,1,-1.45381290537823
CCPG1,24,1,-1.16896139972732
GLRA3,24,1,-2.71424471763295
HERC3,24,1,-1.13622085362509
