stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000275517,9606.ENSP00000479617,CDCA5,UHRF1,9606,0.762,0,0,0,0.646,0,0,0.356
9606.ENSP00000275517,9606.ENSP00000306999,CDCA5,ESCO2,9606,0.777,0,0,0,0.33,0,0,0.681
9606.ENSP00000275517,9606.ENSP00000377793,CDCA5,PRC1,9606,0.829,0,0,0,0.792,0,0,0.213
9606.ENSP00000275517,9606.ENSP00000442068,CDCA5,CDCA3,9606,0.894,0,0,0,0.759,0,0,0.58
9606.ENSP00000275517,9606.ENSP00000301633,CDCA5,BIRC5,9606,0.942,0,0,0,0.779,0,0,0.75
9606.ENSP00000275517,9606.ENSP00000313950,CDCA5,AURKB,9606,0.968,0,0,0,0.672,0,0,0.907
9606.ENSP00000276449,9606.ENSP00000359719,STAR,PRKACB,9606,0.863,0,0,0,0,0,0,0.863
9606.ENSP00000282388,9606.ENSP00000337386,ZFP36L2,ZFP36L1,9606,0.917,0,0,0.072,0.086,0,0.9,0.138
9606.ENSP00000282388,9606.ENSP00000356070,ZFP36L2,MAPKAPK2,9606,0.926,0,0,0,0.043,0,0.9,0.289
9606.ENSP00000282903,9606.ENSP00000317232,PLOD2,FKBP10,9606,0.926,0,0,0,0.172,0,0,0.914
9606.ENSP00000285735,9606.ENSP00000471457,RHOC,MYO9B,9606,0.736,0,0,0,0.063,0.292,0.5,0.299
9606.ENSP00000285735,9606.ENSP00000383178,RHOC,DIAPH3,9606,0.766,0,0,0,0.074,0.25,0.5,0.406
9606.ENSP00000287156,9606.ENSP00000464087,UBE2L6,RNF213,9606,0.731,0,0,0,0.204,0.602,0,0.22
9606.ENSP00000287156,9606.ENSP00000323889,UBE2L6,TRIM25,9606,0.987,0,0,0,0.083,0.35,0.9,0.811
9606.ENSP00000289361,9606.ENSP00000366937,BTN3A1,BTN3A2,9606,0.993,0,0,0.05,0.769,0.934,0.4,0.38
9606.ENSP00000289473,9606.ENSP00000480524,NCF1,GTF2IRD2B,9606,0.779,0,0.015,0,0,0.044,0,0.779
9606.ENSP00000289473,9606.ENSP00000362680,NCF1,SRC,9606,0.905,0,0,0,0.057,0.101,0,0.897
9606.ENSP00000289473,9606.ENSP00000378332,NCF1,TGFB1I1,9606,0.905,0,0,0,0.067,0.422,0,0.839
9606.ENSP00000290401,9606.ENSP00000392043,NPTN,ATP2B1,9606,0.77,0,0,0,0.133,0.36,0,0.619
9606.ENSP00000293288,9606.ENSP00000359719,BAX,PRKACB,9606,0.923,0,0,0,0.042,0,0.9,0.265
9606.ENSP00000293288,9606.ENSP00000376943,BAX,BCL2L11,9606,0.998,0,0,0,0.06,0.929,0.9,0.837
9606.ENSP00000295454,9606.ENSP00000411256,GABRB1,GABARAPL1,9606,0.8,0,0,0,0,0,0.65,0.454
9606.ENSP00000295454,9606.ENSP00000308725,GABRB1,GABRB3,9606,0.95,0,0,0.051,0.112,0,0.9,0.485
9606.ENSP00000296280,9606.ENSP00000396688,MASP1,C4A,9606,0.942,0,0,0,0.067,0.432,0.4,0.839
9606.ENSP00000296464,9606.ENSP00000310219,HSPA4L,HSPA6,9606,0.755,0,0,0.15,0.194,0.241,0.5,0.204
9606.ENSP00000296464,9606.ENSP00000378324,HSPA4L,DNAJA4,9606,0.801,0.041,0,0.206,0.251,0.332,0.162,0.495
9606.ENSP00000296511,9606.ENSP00000376943,ANXA5,BCL2L11,9606,0.712,0,0,0,0,0,0,0.712
9606.ENSP00000296511,9606.ENSP00000362680,ANXA5,SRC,9606,0.736,0,0,0,0.086,0,0,0.723
9606.ENSP00000296511,9606.ENSP00000478887,ANXA5,MYC,9606,0.741,0,0,0,0.087,0.124,0,0.703
9606.ENSP00000296511,9606.ENSP00000357801,ANXA5,S100A10,9606,0.833,0,0,0,0.296,0.074,0,0.764
9606.ENSP00000296526,9606.ENSP00000316377,GRIA2,DLGAP1,9606,0.722,0,0,0,0.205,0.095,0,0.645
9606.ENSP00000296526,9606.ENSP00000359719,GRIA2,PRKACB,9606,0.939,0,0,0,0.085,0,0.9,0.396
9606.ENSP00000296526,9606.ENSP00000379098,GRIA2,CAMK2B,9606,0.953,0,0,0,0.214,0.06,0.9,0.447
9606.ENSP00000297323,9606.ENSP00000499717,ADCY1,CALM1,9606,0.733,0,0,0,0,0.046,0.7,0.142
9606.ENSP00000297323,9606.ENSP00000310661,ADCY1,PDE7B,9606,0.756,0,0,0,0.055,0.126,0.67,0.21
9606.ENSP00000297323,9606.ENSP00000334910,ADCY1,PDE2A,9606,0.768,0,0,0,0.08,0.126,0.67,0.226
9606.ENSP00000297323,9606.ENSP00000379098,ADCY1,CAMK2B,9606,0.77,0,0,0,0.201,0.063,0.65,0.229
9606.ENSP00000297323,9606.ENSP00000345502,ADCY1,PDE4D,9606,0.781,0,0,0,0.055,0.126,0.67,0.29
9606.ENSP00000297323,9606.ENSP00000334051,ADCY1,GNAL,9606,0.944,0,0,0,0.079,0.258,0.9,0.277
9606.ENSP00000297323,9606.ENSP00000359719,ADCY1,PRKACB,9606,0.949,0,0,0,0,0.096,0.9,0.488
9606.ENSP00000299166,9606.ENSP00000364204,NDUFB8,PINK1,9606,0.766,0,0,0,0,0,0.65,0.359
9606.ENSP00000299166,9606.ENSP00000377411,NDUFB8,NDUFA4L2,9606,0.821,0,0,0,0.564,0,0.467,0.294
9606.ENSP00000299166,9606.ENSP00000429707,NDUFB8,COX6C,9606,0.927,0,0,0,0.512,0.585,0,0.669
9606.ENSP00000299166,9606.ENSP00000392709,NDUFB8,NDUFS1,9606,0.999,0,0,0,0.668,0.988,0.967,0.788
9606.ENSP00000300231,9606.ENSP00000411256,MAP1A,GABARAPL1,9606,0.926,0,0,0,0,0.053,0,0.926
9606.ENSP00000300249,9606.ENSP00000313950,MAPRE2,AURKB,9606,0.735,0,0,0,0.083,0.642,0,0.257
9606.ENSP00000301050,9606.ENSP00000377840,CACNB3,CACNB1,9606,0.937,0,0,0.062,0.06,0.785,0.54,0.396
9606.ENSP00000301050,9606.ENSP00000438949,CACNB3,CACNB4,9606,0.964,0,0,0.056,0,0.395,0.9,0.446
9606.ENSP00000301454,9606.ENSP00000321455,SLC25A23,MICU3,9606,0.728,0,0,0,0,0,0,0.728
9606.ENSP00000301454,9606.ENSP00000392709,SLC25A23,NDUFS1,9606,0.778,0,0,0,0.042,0.748,0,0.158
9606.ENSP00000301454,9606.ENSP00000493232,SLC25A23,MICU1,9606,0.985,0,0,0,0.049,0,0,0.985
9606.ENSP00000301633,9606.ENSP00000479617,BIRC5,UHRF1,9606,0.707,0,0,0,0.604,0,0,0.29
9606.ENSP00000301633,9606.ENSP00000438483,BIRC5,KPNA2,9606,0.818,0,0,0,0.716,0,0,0.386
9606.ENSP00000301633,9606.ENSP00000478887,BIRC5,MYC,9606,0.825,0,0,0,0.091,0.051,0.4,0.702
9606.ENSP00000301633,9606.ENSP00000306473,BIRC5,SHCBP1,9606,0.853,0,0,0,0.814,0,0,0.243
9606.ENSP00000301633,9606.ENSP00000468425,BIRC5,TK1,9606,0.92,0,0,0,0.846,0,0,0.501
9606.ENSP00000301633,9606.ENSP00000377793,BIRC5,PRC1,9606,0.94,0,0,0,0.871,0.292,0,0.398
9606.ENSP00000301633,9606.ENSP00000442068,BIRC5,CDCA3,9606,0.96,0,0,0,0.929,0,0,0.465
9606.ENSP00000301633,9606.ENSP00000313950,BIRC5,AURKB,9606,0.999,0,0,0,0.764,0.944,0.8,0.996
9606.ENSP00000303373,9606.ENSP00000489317,H2AC8,H2BC6,9606,0.747,0,0.018,0,0.578,0.178,0,0.329
9606.ENSP00000303373,9606.ENSP00000339566,H2AC8,H1-2,9606,0.828,0,0.002,0,0.486,0.453,0,0.438
9606.ENSP00000303373,9606.ENSP00000483903,H2AC8,H2BC15,9606,0.841,0,0.018,0,0.43,0.44,0.4,0.27
9606.ENSP00000303373,9606.ENSP00000477907,H2AC8,H2BC14,9606,0.903,0,0.018,0,0.509,0.294,0.4,0.59
9606.ENSP00000303373,9606.ENSP00000321744,H2AC8,H2BC4,9606,0.934,0,0.018,0,0.622,0.178,0.4,0.69
9606.ENSP00000303373,9606.ENSP00000348924,H2AC8,H2BC7,9606,0.939,0,0.018,0,0.82,0.178,0,0.622
9606.ENSP00000303373,9606.ENSP00000483842,H2AC8,H2AC4,9606,0.967,0,0,0.048,0.336,0.9,0.54,0.043
9606.ENSP00000303373,9606.ENSP00000367022,H2AC8,H2AC6,9606,0.967,0,0,0.048,0.463,0.907,0.4,0.047
9606.ENSP00000303373,9606.ENSP00000480826,H2AC8,H3C1,9606,0.985,0,0.024,0,0.363,0.936,0,0.669
9606.ENSP00000303373,9606.ENSP00000477527,H2AC8,H2BC17,9606,0.985,0,0.018,0,0.706,0.864,0.4,0.451
9606.ENSP00000303373,9606.ENSP00000479106,H2AC8,H4C1,9606,0.991,0,0.019,0,0.277,0.915,0.54,0.728
9606.ENSP00000303373,9606.ENSP00000366974,H2AC8,H4C2,9606,0.992,0,0.019,0,0.377,0.915,0.54,0.725
9606.ENSP00000303373,9606.ENSP00000347168,H2AC8,H4C11,9606,0.992,0,0.019,0,0.398,0.915,0.54,0.728
9606.ENSP00000303373,9606.ENSP00000489236,H2AC8,H4C8,9606,0.996,0,0.019,0,0.684,0.915,0.54,0.727
9606.ENSP00000303373,9606.ENSP00000476136,H2AC8,H2BC11,9606,0.997,0,0.018,0,0.551,0.985,0.54,0.27
9606.ENSP00000306253,9606.ENSP00000499717,ITPR1,CALM1,9606,0.742,0,0,0,0.049,0.319,0.5,0.297
9606.ENSP00000306253,9606.ENSP00000493232,ITPR1,MICU1,9606,0.766,0,0,0,0.042,0,0,0.766
9606.ENSP00000306253,9606.ENSP00000439937,ITPR1,HOMER3,9606,0.905,0,0,0,0,0.113,0,0.898
9606.ENSP00000306253,9606.ENSP00000367762,ITPR1,PLCB4,9606,0.947,0,0,0,0.049,0.095,0.9,0.459
9606.ENSP00000306253,9606.ENSP00000334382,ITPR1,HOMER1,9606,0.95,0,0,0,0.047,0.186,0,0.941
9606.ENSP00000306253,9606.ENSP00000338185,ITPR1,PLCB1,9606,0.95,0,0,0,0.055,0.071,0.9,0.504
9606.ENSP00000306253,9606.ENSP00000359719,ITPR1,PRKACB,9606,0.972,0,0,0,0.06,0.049,0.9,0.724
9606.ENSP00000306473,9606.ENSP00000377793,SHCBP1,PRC1,9606,0.785,0,0,0,0.742,0,0,0.203
9606.ENSP00000306473,9606.ENSP00000387007,SHCBP1,NCAPG2,9606,0.854,0,0,0,0.803,0,0,0.291
9606.ENSP00000306772,9606.ENSP00000442786,LDB2,LMO3,9606,0.794,0,0,0,0.084,0.634,0,0.435
9606.ENSP00000306999,9606.ENSP00000440402,ESCO2,DDX11,9606,0.775,0,0,0,0.123,0.239,0,0.689
9606.ENSP00000307260,9606.ENSP00000364902,TBL2,POFUT1,9606,0.766,0,0,0,0.766,0,0,0
9606.ENSP00000307260,9606.ENSP00000317232,TBL2,FKBP10,9606,0.774,0.042,0,0,0.082,0.063,0,0.758
9606.ENSP00000308208,9606.ENSP00000362680,MMP14,SRC,9606,0.742,0,0,0,0.105,0,0,0.724
9606.ENSP00000308208,9606.ENSP00000309714,MMP14,SH3PXD2B,9606,0.862,0,0,0,0.284,0,0,0.816
9606.ENSP00000308461,9606.ENSP00000358696,RND1,PLXNA3,9606,0.939,0,0,0,0,0.113,0.9,0.37
9606.ENSP00000308725,9606.ENSP00000411256,GABRB3,GABARAPL1,9606,0.78,0,0,0,0.048,0,0.65,0.394
9606.ENSP00000308725,9606.ENSP00000490940,GABRB3,ARHGEF9,9606,0.784,0,0,0,0.101,0,0.5,0.559
9606.ENSP00000308937,9606.ENSP00000358497,PMP22,RNGTT,9606,0.718,0,0,0,0,0,0,0.718
9606.ENSP00000309714,9606.ENSP00000362680,SH3PXD2B,SRC,9606,0.816,0,0,0,0.072,0.101,0,0.797
