Symbol,pooled_log2FC
NPIPA6,-1.15663174608313
GRAMD1B,-1.59183157566654
H2BC14,3.03449704085221
SLIT2,-2.76406374880424
RACK1,1.02254523435206
DUSP4,2.71549035125725
CNRIP1,-1.12028933707389
TP53,1.79657269344743
STX1B,-1.70945210130303
EXOC6,-1.46625173037063
ANKRD12,-1.01722041859327
PABPC1L,1.66936808779521
RNY4,2.84926028707459
TGIF1,2.24330355003588
DNAH11,2.7076789262716
NDRG1,1.5287110329332
TSPOAP1,-1.18136105493401
HAPLN4,-1.70746901720301
MAP1A,-1.14740044316034
KCTD1,-1.17168045448168
DIRAS2,-1.40444425119971
TNFRSF25,-1.47661248082501
C1orf115,-2.147297719955
NHSL2,-1.42392163307385
CALD1,1.4691184134328
DNAJA4,-1.2276767646471
ZNF395,1.78344031902576
ICAM5,-1.39416915384624
MAPKAPK2,1.05589060622042
SVOP,-2.31118211489655
MAS1,-1.94274713059236
PDE2A,-1.75254107060298
PTPRM,-1.52101804602726
PDE4D,-1.06715737979179
CAVIN1,1.88643464122041
PRRT1,-1.94797404854501
CASKIN1,-2.0734322157384
H2BC6,2.17341968533108
CLSTN3,-1.53265751840026
TMEM150C,-1.18716786582008
POFUT1,1.26627166569014
SLC35B2,1.02254432481089
SEPTIN9,1.85479368960113
SLC2A13,-1.2661572150261
ITGB3,2.11229314534382
PCDHGB2,2.53931937348517
PLOD2,1.98809113562379
EEF1AKMT3,2.11589449931001
EPHA5,-1.62747395685416
ATL1,-1.44131637001045
ATP5MJ,-1.15321317122965
WWTR1,2.36615512945861
HMGCLL1,-1.74566074794351
TUSC3,-1.53380087555171
ZNF677,1.02040143364338
PALS2,-1.11734486200992
R3HDM2,-1.19285706341148
CCDC92B,-1.0828124852516
KCNJ11,-1.37658078080162
RFC2,1.12584641024681
SLITRK5,-1.37654735110706
DSEL,1.35550726037524
ZNF25,-1.40799399865603
RAB20,1.87633601466363
ADGRG1,1.29747920593022
PDLIM5,1.03022533851139
H2AX,1.76789789739345
COA4,1.37408362035716
ARRDC3,1.36132283081814
STC2,3.04161212648637
NT5C3A,1.16579446149402
RTN1,-1.71802236924046
PCDHGC3,1.84422270854222
CARNMT1,-1.2585149240804
MYO9B,1.09613897187248
EML5,-1.53834009041592
MVP,1.61317082434761
RNF175,-1.53921829423666
NECTIN3,-1.25970095847683
INPP5F,-1.23543848619268
ST6GALNAC6,-1.01655790440505
GTF2IRD2B,1.18278395419009
MCTP1,-1.74557784959567
PPM1H,-1.84987076810416
TAGLN3,-1.39983160735207
TAGLN2,1.79327417298988
ITPR1,-1.08365544673572
ATP6V0A1,-1.00041753799043
SATB1,-1.28816260902676
CHST11,1.03693148154389
PCDHAC2,-1.74840323630072
PFKFB4,1.48376721960935
NDUFS1,-1.00229311956942
TNFAIP6,2.2555364733834
DMTN,-1.70833002310636
GRIPAP1,-1.62256635427296
CC2D1B,1.27380407529306
EPHB6,-2.3367480440723
FBXL19,-1.15379198046085
PDE7B,-1.86166702412319
WSCD1,1.92511643335291
USP27X,-1.20107571077958
RNU12,3.10860941132344
H4C1,2.08402418543912
BRSK1,-1.17391379560598
PRC1,1.76541466105429
SHOC2,-1.30243827530904
BTBD9,-1.24664345685623
CIBAR1,-1.092307146795
SNORA21,1.56999685166446
LOX,3.15940710979236
ANKRD24,-2.01750877202431
SCAMP5,-1.22657479028206
AHR,1.15847247192142
KALRN,-1.36897985259767
