Gene_ID,n_datasets
ENSG00000092096,1
ENSG00000092421,1
ENSG00000092607,1
ENSG00000092929,1
ENSG00000093009,1
ENSG00000093072,1
ENSG00000095015,1
ENSG00000095319,1
ENSG00000095739,1
ENSG00000096060,1
ENSG00000096063,1
ENSG00000096080,1
ENSG00000096092,1
ENSG00000096654,1
ENSG00000096872,1
ENSG00000097007,1
ENSG00000099139,1
ENSG00000099194,1
ENSG00000099203,1
ENSG00000099331,1
ENSG00000099364,1
ENSG00000099365,1
ENSG00000099814,1
ENSG00000100060,1
ENSG00000100075,1
ENSG00000100077,1
ENSG00000100106,1
ENSG00000100139,1
ENSG00000100285,1
ENSG00000100297,1
ENSG00000100321,1
ENSG00000100336,1
ENSG00000100346,1
ENSG00000100441,1
ENSG00000100479,1
ENSG00000100591,1
ENSG00000100744,1
ENSG00000100842,1
ENSG00000100985,1
ENSG00000101003,1
ENSG00000101104,1
ENSG00000101115,1
ENSG00000101198,1
ENSG00000101203,1
ENSG00000101265,1
ENSG00000101298,1
ENSG00000101311,1
ENSG00000101346,1
ENSG00000101384,1
ENSG00000101670,1
ENSG00000101868,1
ENSG00000101871,1
ENSG00000101966,1
ENSG00000102007,1
ENSG00000102265,1
ENSG00000102317,1
ENSG00000102359,1
ENSG00000102387,1
ENSG00000102468,1
ENSG00000102547,1
ENSG00000102678,1
ENSG00000102699,1
ENSG00000102760,1
ENSG00000102780,1
ENSG00000102837,1
ENSG00000102904,1
ENSG00000102981,1
ENSG00000103034,1
ENSG00000103154,1
ENSG00000103187,1
ENSG00000103335,1
ENSG00000103460,1
ENSG00000103591,1
ENSG00000103657,1
ENSG00000103852,1
ENSG00000103966,1
ENSG00000104059,1
ENSG00000104112,1
ENSG00000104267,1
ENSG00000104369,1
ENSG00000104415,1
ENSG00000104419,1
ENSG00000104435,1
ENSG00000104723,1
ENSG00000104888,1
ENSG00000104889,1
ENSG00000104998,1
ENSG00000105186,1
ENSG00000105223,1
ENSG00000105376,1
ENSG00000105402,1
ENSG00000105409,1
ENSG00000105483,1
ENSG00000105559,1
ENSG00000105607,1
ENSG00000105612,1
ENSG00000105649,1
ENSG00000105662,1
ENSG00000105695,1
ENSG00000105696,1
ENSG00000105711,1
ENSG00000105723,1
ENSG00000105784,1
ENSG00000105810,1
ENSG00000105854,1
ENSG00000105855,1
ENSG00000105877,1
ENSG00000105894,1
ENSG00000105926,1
ENSG00000105939,1
ENSG00000105974,1
ENSG00000106003,1
ENSG00000106069,1
ENSG00000106077,1
ENSG00000106089,1
ENSG00000106144,1
ENSG00000106268,1
ENSG00000106278,1
ENSG00000106462,1
ENSG00000106546,1
ENSG00000106624,1
ENSG00000106723,1
ENSG00000106785,1
ENSG00000107105,1
ENSG00000107159,1
ENSG00000107165,1
ENSG00000107186,1
ENSG00000107282,1
ENSG00000107518,1
ENSG00000107560,1
ENSG00000107679,1
ENSG00000107731,1
ENSG00000107864,1
ENSG00000107954,1
ENSG00000108018,1
ENSG00000108061,1
ENSG00000108176,1
ENSG00000108231,1
ENSG00000108262,1
ENSG00000108309,1
ENSG00000108352,1
ENSG00000108395,1
ENSG00000108406,1
ENSG00000108509,1
ENSG00000108518,1
ENSG00000108679,1
ENSG00000108684,1
ENSG00000108784,1
ENSG00000108797,1
ENSG00000108840,1
ENSG00000108846,1
ENSG00000109436,1
ENSG00000109519,1
ENSG00000109670,1
ENSG00000109674,1
ENSG00000109686,1
ENSG00000110047,1
ENSG00000110092,1
ENSG00000110148,1
ENSG00000110318,1
ENSG00000110422,1
ENSG00000110427,1
ENSG00000110446,1
ENSG00000110492,1
ENSG00000110514,1
ENSG00000110693,1
ENSG00000110719,1
ENSG00000110900,1
ENSG00000110925,1
ENSG00000110931,1
ENSG00000110955,1
ENSG00000111052,1
ENSG00000111247,1
ENSG00000111328,1
ENSG00000111331,1
ENSG00000111348,1
ENSG00000111602,1
ENSG00000111665,1
ENSG00000111783,1
ENSG00000111816,1
ENSG00000111880,1
ENSG00000111913,1
ENSG00000112029,1
ENSG00000112053,1
ENSG00000112137,1
ENSG00000112183,1
ENSG00000112208,1
ENSG00000112293,1
ENSG00000112312,1
ENSG00000112367,1
ENSG00000112473,1
ENSG00000112531,1
ENSG00000112559,1
ENSG00000112562,1
ENSG00000112655,1
ENSG00000112715,1
ENSG00000112742,1
ENSG00000112773,1
ENSG00000112796,1
ENSG00000112812,1
ENSG00000112902,1
ENSG00000112984,1
ENSG00000112996,1
ENSG00000113048,1
ENSG00000113083,1
ENSG00000113100,1
ENSG00000113140,1
ENSG00000113163,1
ENSG00000113205,1
ENSG00000113231,1
ENSG00000113319,1
ENSG00000113368,1
ENSG00000113369,1
ENSG00000113555,1
ENSG00000113638,1
ENSG00000113739,1
ENSG00000113810,1
ENSG00000113966,1
ENSG00000114115,1
ENSG00000114200,1
ENSG00000114251,1
ENSG00000114268,1
ENSG00000114279,1
