sample,condition
SRR11365252,Normal
SRR11365253,Normal
SRR11365254,Normal
SRR11365255,Normal
SRR11365256,Normal
SRR11365267,Tumor
SRR11365268,Tumor
SRR11365269,Tumor
SRR11365271,Tumor
SRR11365273,Tumor
